,number,author,life,title,width,height,image_url,wall,position,image_path
18,13 b ,Belloc jean hilaire, (1786-1866). ,portrait de mille belloc et de sa fille dans le fond le peintre lui même,,,,,Esc T T,
19,14 ,Belly léon auguste adolphe, (1827-1N77). ,pèlerins allant à la mecque,,,,,E F XIXe S 2e étage II,
20,14 a ,Belly léon auguste adolphe, (1827-1N77). ,vue du nil,,,,,E F XIXe S 2e étage II,
21,14 b ,Belly léon auguste adolphe, (1827-1N77). ,pêcheurs le soir,,,,,E F XIXe S 2e étage II,
22,16 ,Benoist marie guilhelmine, (r 768- l 86). ,portrait d'une négresse,,,,E,II,
23,17 ,Benouville françois léon, (1821-1859». ,saint françois d'assise transporté mourant à saintemarie des anges bénit la ville d'assise,,,,O,VIII,data/images_paintings/23.jpg
24,20 ,Bidault jean joseph xavier, (1758-1846). ,vue prise de subiaco,,,,,E F XIXe S 1er étage I,data/images_paintings/24.jpg
25,21 ,Bidault jean joseph xavier, (1758-1846). ,vue d'avezzano et du lac de celano,,,,,E F XIXe S 1er étage I,
26, ,Biennoury victor françois eloi, (1823-1893) ,les sculptures grecque romaine française camaïeux dans les tympans,,,,,S de Mécène,
27, ,Biennoury victor françois eloi, (1823-1893) ,l'empire romain l'empire français camaïeux dans les tympans,,,,,S d'Auguste,
28,23 ,Blain ou belin de fontenay jean baptiste, (1653- 1715). ,vase d'or fleurs et fruits,,,,,S Meubles XVIIe,
29,24 ,Blain ou belin de fontenay jean baptiste, (1653- 1715). ,vase doré rempli de fleurs,,,,,S Meubles XVIIe,
30,25 ,Blanchard jacques, (16oo-r638). ,la charité,136.0,110.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Blanchard_Allegory_of_Charity.jpg/1200px-Blanchard_Allegory_of_Charity.jpg,S,XIV,data/images_paintings/30.jpg
31,S N ,Blanchard jacques, (16oo-r638). ,cimon et iphigénie ,,,,N,XIV,
32, ,Blondel merry joseph," (1781-1853)., ",le soleil la  chute d'icare coupole circulaire partie centraie,,,,,Galerie d'Apollon,
33, ,Blondel merry joseph," (1781-1853)., ",différend de neptune et de minerve plafond tableau du centre,,,,,II,
34, ,Blondel merry joseph," (1781-1853)., ",mars la paix plafond côtés gauche et droit,,,,,II,
35, ,Blondel merry joseph," (1781-1853)., ",la france victorieuse à bouvines plafond,,,,,S Meubles XVIIe,
36,28 ,Boilly louis léopold, (1761-1845). ,l'arrivée d'une diligence dans la cour des messageries à paris,,,,N,XVI,data/images_paintings/36.jpg
37,28 a ,Boilly louis léopold, (1761-1845). ,les amateurs d'estampes ,24.5,32.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000152/12-533251a.jpg,E,XVI,data/images_paintings/37.jpg
38,S N ,Boilly louis léopold, (1761-1845). ,réunion d'artistes dans l'atelier d'isabey,111.0,71.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Boilly_r%C3%A9union_d%27artiste_chez_Isabey_1798.jpg/1200px-Boilly_r%C3%A9union_d%27artiste_chez_Isabey_1798.jpg,N,XVI,data/images_paintings/38.jpg
39,S N ,Bonheur rosa, (1822-1899). ,labourage nivernais,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Rosa_Bonheur_-_Ploughing_in_Nevers_-_Google_Art_Project.jpg/1200px-Rosa_Bonheur_-_Ploughing_in_Nevers_-_Google_Art_Project.jpg,,Marine,data/images_paintings/39.jpg
40,S N ,Borowikoffsky wladimir, (1757-1825). ,portrait de l'impératrice elisabeth de russie d'après   ecole russe,,,,,Coll Schlichting,
41,30 ,Boucher françois, (1703-1770). ,diane sortant du bain avec une de ses compagnes,,,,S,XVI,
42,31 ,Boucher françois, (1703-1770). ,vénus commandant à vulcain des armes pour enée,,,,N,XVI,
43,32 ,Boucher françois, (1703-1770). ,la bergère endormie,,,,S,XVI,data/images_paintings/43.jpg
44,33 ,Boucher françois, (1703-1770). ,la musette,,,,S,XVI,data/images_paintings/44.jpg
45,34 ,Boucher françois, (1703-1770). ,sujet pastoral le nid,,,,N,XVI,
46,35 ,Boucher françois, (1703-1770). ,sujet pastoral berger et bergères,,,,N,XVI,data/images_paintings/46.jpg
47,36 ,Boucher françois, (1703-1770). ,vulcain présentant à vénus des armes pour enée,320.0,320.0,https://upload.wikimedia.org/wikipedia/commons/e/e1/Boucher_Vulcan_Presenting_Venus_with_Arms_for_Aeneas.jpg,S,XVI,data/images_paintings/47.jpg
48,37 ,Boucher françois, (1703-1770). ,vertumne et pomone,122.0,147.5,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Boucher%2C_vertumno_e_pomona%2C_1763.JPG/1200px-Boucher%2C_vertumno_e_pomona%2C_1763.JPG,S,XVI,data/images_paintings/48.jpg
49,38 ,Boucher françois, (1703-1770). ,céphale et l'aurore,117.5,142.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Boucher%2C_cefalo_e_aurora%2C_1764.JPG/1200px-Boucher%2C_cefalo_e_aurora%2C_1764.JPG,N,XVI,data/images_paintings/49.jpg
50,39 ,Boucher françois, (1703-1770). ,l'enlèvement d'europe,193.5,160.5,https://upload.wikimedia.org/wikipedia/commons/4/46/BoucherFrancois_Europe.jpg,S,XVI,data/images_paintings/50.jpg
51,41 ,Boucher françois, (1703-1770). ,neptune et amymone,225.0,240.0,,,Esc Henri IV,data/images_paintings/51.jpg
52,42 ,Boucher françois, (1703-1770). ,les jeux de l'amour la cible d'amour,,,,N,XVI,data/images_paintings/52.jpg
53,43 ,Boucher françois, (1703-1770). ,la toilette de vénus,85.1,108.3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/The_Toilet_of_Venus%2C_by_Fran%C3%A7ois_Boucher.jpg/1200px-The_Toilet_of_Venus%2C_by_Fran%C3%A7ois_Boucher.jpg,N,XVI,data/images_paintings/53.jpg
54,44 ,Boucher françois, (1703-1770). ,vénus désarmant l'amour,,,,N,XVI,
55,45 ,Boucher françois, (1703-1770). ,pastorale iii'1,,,,,Ire S Meubles XVIIIe,data/images_paintings/55.jpg
56,45 a ,Boucher françois, (1703-1770). ,l'oiseau pris dans les filets,205.0,150.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000194/11-527804.jpg,N,XVI,data/images_paintings/56.jpg
57,46 ,Boucher françois, (1703-1770). ,vénus chez vulcain,,,,E,I,
58,48 ,Boucher françois, (1703-1770). ,le peintre dans son atelier,22.0,27.0,https://upload.wikimedia.org/wikipedia/commons/4/47/Fran%C3%A7ois_Boucher_-_Painter_in_his_Studio_-_WGA2893.jpg,E,I,data/images_paintings/58.jpg
59,49 ,Boucher françois, (1703-1770). ,les forges de vulcain,320.0,320.0,https://upload.wikimedia.org/wikipedia/commons/e/e1/Boucher_Vulcan_Presenting_Venus_with_Arms_for_Aeneas.jpg,E,I,data/images_paintings/59.jpg
60,50 ,Boucher françois, (1703-1770). ,portrait de jeune femme,46.0,56.8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Boucher018.jpg/1200px-Boucher018.jpg,E,I,data/images_paintings/60.jpg
61,50 a ,Boucher françois, (1703-1770). ,le déjeuner,65.5,81.5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Fran%C3%A7ois_Boucher_002.jpg/1200px-Fran%C3%A7ois_Boucher_002.jpg,S,XVI,data/images_paintings/61.jpg
62,S N ,Boucher françois, (1703-1770). ,renaud et armide,170.5,135.5,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Fran%C3%A7ois_Boucher_-_Rinaldo_and_Armida_-_WGA2878.jpg/1200px-Fran%C3%A7ois_Boucher_-_Rinaldo_and_Armida_-_WGA2878.jpg,S,XVI,data/images_paintings/62.jpg
63,S N ,Boucher françois, (1703-1770). ,paysage le pont,,,,S,XVI,
64,S N ,Boucher françois, (1703-1770). ,paysage le moulin,,,,S,XVI,
65,S N ,Boucher françois, (1703-1770). ,portrait supposé de la mise de pompadour attr,,,,,Coll Schlichting,
66,S N ,Boucher françois, (1703-1770). ,tête d'étude pastel,,,,,S des Pastels,
67,148,Boudin eugène louis, (182.1-1898). ,baigneurs sur la plage de trou ville 1869,,,,,Musée Charles X S III,
68,149,Boudin eugène louis, (182.1-1898). ,la jetée de dtauville,,,,,Musée Charles X S III,
69,150,Boudin eugène louis, (182.1-1898). ,voiliers,41.9,31.4,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Eug%C3%A8ne_Louis_Boudin_-_Sailboats_near_Trouville_-_1983.7.4_-_Yale_University_Art_Gallery.jpg/1200px-Eug%C3%A8ne_Louis_Boudin_-_Sailboats_near_Trouville_-_1983.7.4_-_Yale_University_Art_Gallery.jpg,,Musée Charles X S III,data/images_paintings/69.jpg
70,210,Boudin eugène louis, (182.1-1898). ,etude de ciel pastd,,,,,Musée Charles X S III,
71,50 c ,Boulanger, Louis.(1806-1867). ,portrait de jeune femme,,,,,E F XIXe S 1er étage III,
72,55 ,Boulogne louis, (1654-17331. ,mariage de sainte catherine,,,,N,XIV,
73,56 ,Boulongne valentin, (1591-1634). ,l'innocence de suzanne reconnue,,,,O,XV,
74,57 ,Boulongne valentin, (1591-1634). ,le jugement de salomon,,,,O,XV,
75,59 ,Boulongne valentin, (1591-1634). ,un concert,,,,N,XIV,
76,60 ,Boulongne valentin, (1591-1634). ,un concert,,,,N,XIV,
77,62 ,Boulongne valentin, (1591-1634). ,un cabaret,,,,,XII,
78,64 ,Bourdon sébastien, (1616-1671). ,le sacrifice de noé à la sortie de l'arche,,,,N,XV,
79,65 ,Bourdon sébastien, (1616-1671). ,salomon sacrifiant aux idoles,145.0,156.0,https://upload.wikimedia.org/wikipedia/commons/7/7a/S%C3%A9bastien_Bourdon_-_Solomon_making_a_sacrifice_to_the_idols.jpg,,S Meubles XVIIe,data/images_paintings/79.jpg
80,69 ,Bourdon sébastien, (1616-1671). ,la présentation au temple,61.0,71.0,https://upload.wikimedia.org/wikipedia/commons/6/6e/Bourdon%2C_S%C3%A9bastien_-_Presentation_in_the_Temple_-_c._1644.jpg,S,XIV,data/images_paintings/80.jpg
81,70 ,Bourdon sébastien, (1616-1671). ,le christ et les enfants,61.0,50.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000233/12-548155.jpg,N,XIV,data/images_paintings/81.jpg
82,74 ,Bourdon sébastien, (1616-1671). ,auguste devant le tombeau d'alexandre,139.0,111.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000234/12-548156.jpg,S,XIV,data/images_paintings/82.jpg
83,75 ,Bourdonsébastien,.(1616-1671). ,unehaltedebohémiens,,,,N,XIV,
84,76 ,Bourdonsébastien,.(1616-1671). ,les mendiants,,,,S,XIV,
85,77 ,Bourdonsébastien,.(1616-1671). ,scène d'intérieur,,,,E,I,
86,78 ,Bourdonsébastien,.(1616-1671). ,portrait de rené descartes,,,,N,XIV,
87,80 ,Bourdonsébastien,.(1616-1671). ,son portrait par lui même xiv n bourguignon jacques courtois dit le,,,,,Musée Charles X S III,
88,S N ,Boze joseph, (vers 1746-1826). ,portrait de boze par lui même pastel,,,,,S des Pastels,
89,S N ,Boze joseph, (vers 1746-1826). ,le duc d'angoulême enfant pastel,,,,,S des Pastels,
90,S N ,Boze joseph, (vers 1746-1826). ,portrait de madame de provence en robe blanche pastel,,,,,S des Pastels,
91,83 ,Brascassat jacques raymond, (1804-1867). ,paysage et animaux,131.0,98.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000248/14-531280a.jpg,,E F XIXe S 1er étage I,data/images_paintings/91.jpg
92,S o ,Breton jules, (1827-1906) ,le rappel des glaneuses en artois,,,,,Marine,
93,S N ,Breton jules, (1827-1906) ,la bénédiction des blés en artois,318.0,128.0,https://upload.wikimedia.org/wikipedia/commons/c/c8/Sacramentsprocessie.jpg,,Marine,data/images_paintings/93.jpg
94,S N ,Breton jules, (1827-1906) ,la glaneuse — brun charles le et brun mme vigée le — voir le brun,,,,,Musée Charles X S III,
95,S N ,Breton jules, (1827-1906) ,la route,,,,,Musée Charles X S III,
96,2931 ,Cabat louis nicolas, (1812-1893). ,l'étang de vilk d'avray,,,,,E F XIXe S 2e étage I,
97,85 ,Callet antoine françois, (1741-1823). ,les saturnales ou l'hiver,,,,E,XVI,
98,86 ,Callet antoine françois, (1741-1823). ,l'automne ou les fêtes de bacchus,,,,E,XVI,
99,87 ,Callet antoine françois, (1741-1823). ,le triomphe de flore,96.5,53.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000264/12-561561.jpg,O,I,data/images_paintings/99.jpg
100, ,Callet antoine françois, (1741-1823). ,le printemps plafond,,,,,Galerie d'Apollon,
101, ,Carolus duran emile auguste, 11837-1917). ,le triomphe de marie de médicis plafond 4me,,,,,Ire S Meubles XVIIIe,
102,87 a ,Carpeaux jean baptiste, (1827-1875). ,bal costumé aux tuileries 1867,,,,,E F XIXe S 2e étage II,
103,151,Cézanne paul, 1839-1906). ,la maison du pendu à auvers sur oise,,,,,Musée Charles X S III,
104,152,Cézanne paul, 1839-1906). ,dahlias dans un vase en faïence de delft,,,,,Musée Charles X S III,
105,153,Cézanne paul, 1839-1906). ,les joueurs de cartes,181.9,135.3,https://upload.wikimedia.org/wikipedia/commons/1/1c/Paul_Cezanne_Les_joueurs_de_cartes.jpg,,Musée Charles X S III,data/images_paintings/105.jpg
106,154,Cézanne paul, 1839-1906). ,le vase bleu iris et pois de senteur,,,,,Musée Charles X S III,
107,155,Cézanne paul, 1839-1906). ,pommes et oranges,93.0,74.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Nature_morte_aux_pommes_et_aux_oranges%2C_par_Paul_C%C3%A9zanne.jpg/1200px-Nature_morte_aux_pommes_et_aux_oranges%2C_par_Paul_C%C3%A9zanne.jpg,,Musée Charles X S III,data/images_paintings/107.jpg
108,S N ,Challes noël, (milieu du XVIIIe S.) ,l'amour attr,,,,,Coll Schlichting,
109,S N ,Challes noël, (milieu du XVIIIe S.) ,bacchus  attribué,,,,,Coll Schlichting,
110,89 ,Chardin jean baptiste siméon, (1699-1779). ,la raie ou le chat dans le garde manger,,,,N,XVI,data/images_paintings/110.jpg
111,90 ,Chardin jean baptiste siméon, (1699-1779). ,le buffet fruits chien et perroquet,,,,N,XVI,data/images_paintings/111.jpg
112,90 a ,Chardin jean baptiste siméon, (1699-1779). ,l'enfant au toton portrait de gabriel godefroy fils cadet du joaillier ch godefroy,,,,N,XVI,
113,90 b ,Chardin jean baptiste siméon, (1699-1779). ,le jeune homme au violon portrait de charles godefroy frère aîné du précédent,,,,N,XVI,
114,91 ,Chardin jean baptiste siméon, (1699-1779). ,la mère laborieuse,39.0,49.0,https://upload.wikimedia.org/wikipedia/commons/b/bb/Jean_Sim%C3%A9on_Chardin_-_The_Hard-working_Mother_-_WGA04767.jpg,N,XVI,data/images_paintings/114.jpg
115,92 ,Chardin jean baptiste siméon, (1699-1779). ,le bénédicité,41.0,49.5,https://upload.wikimedia.org/wikipedia/commons/d/d2/Jean-Baptiste_Simeon_Chardin_Saying_Grace.jpg,N,XVI,data/images_paintings/115.jpg
116,93 ,Chardin jean baptiste siméon, (1699-1779). ,le bénédicité,41.0,49.5,https://upload.wikimedia.org/wikipedia/commons/d/d2/Jean-Baptiste_Simeon_Chardin_Saying_Grace.jpg,O,I,data/images_paintings/116.jpg
117,94 ,Chardin jean baptiste siméon, (1699-1779). ,lapin mort et ustensiles de chasse,,,,S,XVI,
118,95 ,Chardin jean baptiste siméon, (1699-1779). ,menu de maigre,41.0,33.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000404/10-528897.jpg,N,XVI,data/images_paintings/118.jpg
119,96 ,Chardin jean baptiste siméon, (1699-1779). ,menu de gras,41.0,33.0,https://upload.wikimedia.org/wikipedia/commons/a/af/Jean-Baptiste_Simeon_Chardin_A_Lean_Diet_with_Cooking_Utensils.jpg,N,XVI,data/images_paintings/119.jpg
120,97 ,Chardin jean baptiste siméon, (1699-1779). ,le singe antiquaire,64.5,81.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Chardin%2C_la_scimmia_antiquaria%2C_1726_ca._02.JPG/1200px-Chardin%2C_la_scimmia_antiquaria%2C_1726_ca._02.JPG,S,XVI,data/images_paintings/120.jpg
121,98 ,Chardin jean baptiste siméon, (1699-1779). ,les attributs des arts,145.0,91.0,https://upload.wikimedia.org/wikipedia/commons/4/4b/Chardin_Attributs_musique_%281765%29.jpg,S,XVI,data/images_paintings/121.jpg
122,99 ,Chardin jean baptiste siméon, (1699-1779). ,la pourvoyeuse,38.0,47.0,https://upload.wikimedia.org/wikipedia/commons/1/1a/Jean_Sim%C3%A9on_Chardin_-_The_Provider_%28La_Pourvoyeuse%29_-_WGA04759.jpg,N,XVI,data/images_paintings/122.jpg
123,100 ,Chardin jean baptiste siméon, (1699-1779). ,les attributs de la musique,145.0,91.0,https://upload.wikimedia.org/wikipedia/commons/4/4b/Chardin_Attributs_musique_%281765%29.jpg,S,XVI,data/images_paintings/123.jpg
124,101 ,Chardin jean baptiste siméon, (1699-1779). ,ustensiles variés pipe et vases à boire sur une table de pierre,,,,N,XVI,
125,102 ,Chardin jean baptiste siméon, (1699-1779). ,panier de pêches sur une table de pierre,,,,N,XVI,
126,103 ,Chardin jean baptiste siméon, (1699-1779). ,le château de cartes,68.0,77.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000415/08-524846.jpg,O,I,data/images_paintings/126.jpg
127,104 ,Chardin jean baptiste siméon, (1699-1779). ,le singe peintre,59.5,73.0,https://upload.wikimedia.org/wikipedia/commons/f/f9/Le_Singe_peintre_-_Jean_Sim%C3%A9on_Chardin.jpg,E,I,data/images_paintings/127.jpg
128,105 ,Chardin jean baptiste siméon, (1699-1779). ,melon poires et pêches,52.0,60.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000423/12-568845.jpg,O,I,data/images_paintings/128.jpg
129,106 ,Chardin jean baptiste siméon, (1699-1779). ,raisins et grenades ,57.0,47.0,https://upload.wikimedia.org/wikipedia/commons/2/22/Jean_Sim%C3%A9on_Chardin_-_Grapes_and_Pomegranates_-_WGA04780.jpg,O,I,data/images_paintings/129.jpg
130,108 ,Chardin jean baptiste siméon, (1699-1779). ,la fontaine de cuivre,23.0,28.5,https://upload.wikimedia.org/wikipedia/commons/3/32/Copper_cistern.jpg,E,I,data/images_paintings/130.jpg
131,109 ,Chardin jean baptiste siméon, (1699-1779). ,un dessert,56.0,47.0,https://upload.wikimedia.org/wikipedia/commons/2/2d/Jean_Sim%C3%A9on_Chardin_-_%27La_Brioche%27_%28Cake%29_-_WGA04779.jpg,O,I,data/images_paintings/131.jpg
132,110 ,Chardin jean baptiste siméon, (1699-1779). ,pêches noix raisins et verre de vin,,,,E,I,
133,111 ,Chardin jean baptiste siméon, (1699-1779). ,ustensiles divers,,,,O,I,
134,112 ,Chardin jean baptiste siméon, (1699-1779). ,poires et verre de vin,41.0,33.0,https://upload.wikimedia.org/wikipedia/commons/9/94/Jean_Sim%C3%A9on_Chardin_-_Pears%2C_Walnuts_and_Glass_of_Wine_-_WGA04784.jpg,O,I,data/images_paintings/134.jpg
135,113 ,Chardin jean baptiste siméon, (1699-1779). ,le gobelet d'argent,41.0,33.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jean-Baptiste_Sim%C3%A9on_Chardin_024.jpg/1200px-Jean-Baptiste_Sim%C3%A9on_Chardin_024.jpg,O,I,data/images_paintings/135.jpg
136,114 ,Chardin jean baptiste siméon, (1699-1779). ,la table de cuisine,129.0,151.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000397/06-524806.jpg,O,I,data/images_paintings/136.jpg
137,115 ,Chardin jean baptiste siméon, (1699-1779). ,le panier de raisins,58.0,69.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000418/10-528889.jpg,O,I,data/images_paintings/137.jpg
138,116 ,Chardin jean baptiste siméon, (1699-1779). ,ustensiles de cuisine et œufs ,21.0,17.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000414/10-524675.jpg,E,I,data/images_paintings/138.jpg
139,120 ,Chassériau théodore, (1819-1856). ,le tepidarium ef xixe,,,,,Musée Charles X S III,
140,121 ,Chassériau théodore, (1819-1856). ,la chaste suzanne,,,,N,VIII,data/images_paintings/140.jpg
141,121 a ,Chassériau théodore, (1819-1856). ,la paix fragment de décoration provenant de la cour des comptes,,,,,Esc T T,
142,121 b ,Chassériau théodore, (1819-1856). ,une océanide,,,,,Esc T T,
143,121 c ,Chassériau théodore, (1819-1856). ,le père lacordaire viii 0  121 d — portrait du peintre marilhat ,,,,,E F XIXe S 2e étage II,data/images_paintings/143.jpg
144,S N ,Chassériau théodore, (1819-1856). ,portrait de melle adèle chassériau,,,,,E F XIXe S 1er étage III,
145,S N ,Chassériau théodore, (1819-1856). ,les deux soeurs de l'artiste,135.0,180.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Th%C3%A9odore_Chass%C3%A9riau_003.jpg/1200px-Th%C3%A9odore_Chass%C3%A9riau_003.jpg,O,VIII,data/images_paintings/145.jpg
146,S N ,Chassériau théodore, (1819-1856). ,caïd visitant un douar,200.0,142.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000468/90-001698.jpg,,E F XIXe S 1er étage I,data/images_paintings/146.jpg
147,S N ,Chassériau théodore, (1819-1856). ,vénus marine,55.0,65.5,https://upload.wikimedia.org/wikipedia/commons/2/2f/1838_Th%C3%A9odore_Chasseriau_-_Venus_Anadyomene.jpg,,E F XIXe S 1er étage II,data/images_paintings/147.jpg
148,S N ,Chassériau théodore, (1819-1856). ,chefs arabes se défiant en combat singulier,,,,,E F XIXe S 1er étage II,
149,S N ,Chassériau théodore, (1819-1856). ,macbeth rencontre les sorcières sur la bruyère,,,,,E F XIXe S 1er étage II,
150,123 ,Chintreuil antoine, (1814-1873). ,l'espace,204.0,102.0,https://upload.wikimedia.org/wikipedia/commons/8/84/Chintreuil_espace.jpg,,E F XIXe S 2e étage I,data/images_paintings/150.jpg
151,125 ,Chintreuil antoine, (1814-1873). ,pluie et soleil ,216.0,105.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000492/05-521649.jpg,,E F XIXe S 2e étage I,data/images_paintings/151.jpg
152,125 a ,Chintreuil antoine, (1814-1873). ,etude,42.0,21.0,,,E F XIXe S 2e étage II,
153,125 a ,Chintreuil antoine, (1814-1873). ,etude,42.0,21.0,,,E F XIXe S 2e étage II,
154,125 a ,Chintreuil antoine, (1814-1873). ,le bateau abandonné villebon étude,,,,,E F XIXe S 2e étage II,
155,125 a ,Chintreuil antoine, (1814-1873). ,etude de paysage,,,,,E F XIXe S 1er étage II,
156,126 ,Clouet attribué à jean dit jehannet, (vers 14 75-1540). ,portrait de françois ier roi de france,,,,,XI,
157,127 ,Clouet attribué à jean dit jehannet, (vers 14 75-1540). ,portrait de françois 1er roi de france,,,,,XI,
158,128 ,Clouet françois, (mort en 1572). ,portrait de charles ix roi de france i d'après,,,,,XI,
159,129 ,Clouet françois, (mort en 1572). ,portrait de henri h roi de france d'aprèsi,,,,,XI,
160,130 ,Clouet françois, (mort en 1572). ,portrait d'elisabeth d'autriche reine de france femme de charles ix attribué,,,,,XI,data/images_paintings/160.jpg
161,131 ,Clouet françois, (mort en 1572). ,portrait de françois de lorraine duc de guise tué au siège d'orléans en 1563 réplique présumée,,,,,XI,
162,131 a ,Clouet françois, (mort en 1572). ,portrait de henri ii en buste réplique présumée 1,,,,,XI,
163,132 ,Clouet françois, (mort en 1572). ,portrait de charles ix en buste réplique présumée,,,,,XI,
164,133 ,Clouet françois, (mort en 1572). ,portrait d'elisabeth d'autriche reine de france femme de charles ix en buste avec toque à plumes réplique présumée,,,,,XI,
165,133 a ,Clouet françois, (mort en 1572). ,portrait de claude de beaune dame de châteaubrun duchesse de roannois réplique présumée,,,,,XI,
166,133 b ,Clouet françois, (mort en 1572). ,portrait de jean babou seigneur de la bourdaisière maréchal général de l'artillerie en 1567 réplique présumée,,,,,XI,
167,S X ,Clouet françois, (mort en 1572). ,portrait de françois ier à cheval miniature ec de,,,,,XI,
168, ,Clouet françois, (mort en 1572). ,portrait de henri ii d'après par gérôme iilme,,,,,S de la Colonnade,
169,134 ,Clouet françois, (mort en 1572). ,portrait de louis de saint gelais dit de lezignem baron de la mothe saint héraye seigneur de lansac ecole de,,,,,XI,
170,135 ,Cochereau léon mathieu, (1793-1817). ,intérieur de l'atelier des élèves de david au collège des quatre nations à paris,,,,E,III,
171, ,Cogniet léon, ( 1794-1KN0). ,plafond expédition d'egypte sous les ordres de bonaparte — voussures  bataille d'aboukir révolte du caire le pardon aux révoltés du caire peste de jaffa,,,,,S des fresques et verres antiques,
172,138 ,Corot jean baptiste camille, (1796-1875). ,une matinée la danse des nymphes,132.0,97.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Camille_Corot_-_A_Morning._The_Dance_of_the_Nymphs_-_Google_Art_Project.jpg/1200px-Camille_Corot_-_A_Morning._The_Dance_of_the_Nymphs_-_Google_Art_Project.jpg,O,VIII,data/images_paintings/172.jpg
