,number,author,life,title,position
29,24 ,"Blain ou Belin de Fontenay, Jean-Baptiste.", (1653- 1715). ,Vase doré rempli de fleurs,S. Meubles XVIIe
30,25 ,"Blanchard, Jacques.", (16oo-r638). ,La Charité ,XIV-S
31,S. N° ,"Blanchard, Jacques.", (16oo-r638). ,"Cimon et Iphigénie. , ",XIV-N
32,* ,"Blondel, Merry-Joseph."," (1781-1853)., ","Le soleil; la , chute d'Icare. Coupole circulaire, partie centraie.",Gai. d'Apollon
33,* ,"Blondel, Merry-Joseph."," (1781-1853)., ","Différend de Neptune et de Minerve. Plafond, tableau du centre. ",II
34,* ,"Blondel, Merry-Joseph."," (1781-1853)., ","Mars. La Paix. Plafond, côtés gauche et droit ",II
35,* ,"Blondel, Merry-Joseph."," (1781-1853)., ",La France victorieuse à Bouvines. Plafond,S. Meubles XVIIe S.
36,28 ,"Boilly, Louis-Léopold.", (1761-1845). ,L'arrivée d'une diligence dans la cour des Messageries à Paris. ,XVI-N
37,28 a ,"Boilly, Louis-Léopold.", (1761-1845). ,"Les amateurs d'estampes. , ",XVI-E
38,S. N° ,"Boilly, Louis-Léopold.", (1761-1845). ,Réunion d'artistes dans l'atelier d'Isabey ,XVI-N
39,S. N° ,"Bonheur, Rosa.", (1822-1899). ,Labourage nivernais.,Marine 1
40,S. N° ,"Borowikoffsky, Wladimir.", (1757-1825). ,Portrait de l'impératrice Elisabeth de Russie (D'après) - (Ecole russe),Coll. Schlichting
41,30 ,"Boucher, François.", (1703-1770). ,Diane sortant du bain avec une de ses compagnes. ,XVI-S
42,31 ,"Boucher, François.", (1703-1770). ,Vénus commandant à Vulcain des armes pour Enée. ,XVI-N
43,32 ,"Boucher, François.", (1703-1770). ,La bergère endormie. ,XVI-S
44,33 ,"Boucher, François.", (1703-1770). ,La musette. ,XVI-S
45,34 ,"Boucher, François.", (1703-1770). ,Sujet pastoral: Le nid. ,XVI-N
46,35 ,"Boucher, François.", (1703-1770). ,Sujet pastoral: Berger et bergères. ,XVI-N
47,36 ,"Boucher, François.", (1703-1770). ,Vulcain présentant à Vénus des armes pour Enée ,XVI-S
48,37 ,"Boucher, François.", (1703-1770). ,Vertumne et Pomone. ,XVI-S
49,38 ,"Boucher, François.", (1703-1770). ,Céphale et l'Aurore ,XVI-N
50,39 ,"Boucher, François.", (1703-1770). ,L'enlèvement d'Europe ,XVI-S
51,41 ,"Boucher, François.", (1703-1770). ,Neptune et Amymone,Esc. Henri IV
52,42 ,"Boucher, François.", (1703-1770). ,Les jeux de l'amour (La cible d'Amour) ,XVI-N
53,43 ,"Boucher, François.", (1703-1770). ,La toilette de Vénus. ,XVI-N
54,44 ,"Boucher, François.", (1703-1770). ,Vénus désarmant l'Amour ,XVI-N
55,45 ,"Boucher, François.", (1703-1770). ,Pastorale III'1,S. Meubles XVIIIe
56,45 a ,"Boucher, François.", (1703-1770). ,L'oiseau pris dans les filets ,XVI-N
57,46 ,"Boucher, François.", (1703-1770). ,Vénus chez Vulcain. ,I-E
58,48 ,"Boucher, François.", (1703-1770). ,Le peintre dans son atelier. ,I-E
59,49 ,"Boucher, François.", (1703-1770). ,Les forges de Vulcain. ,I-E
60,50 ,"Boucher, François.", (1703-1770). ,Portrait de jeune femme ,I-E
61,50 a ,"Boucher, François.", (1703-1770). ,Le déjeuner. ,XVI-S
62,S. N° ,"Boucher, François.", (1703-1770). ,Renaud et Armide ,XVI-S
63,S. N° ,"Boucher, François.", (1703-1770). ,Paysage. Le pont. ,XVI-S
64,S. N° ,"Boucher, François.", (1703-1770). ,Paysage. Le moulin. ,XVI-S
65,S. N° ,"Boucher, François.", (1703-1770). ,Portrait supposé de la Mise de Pompadour (Attr.),Coll. Schlichting
69,S. N° ,"Boucher, François.", (1703-1770). ,Tête d'étude. Pastel.,S. des Pastels
70,(148) ,"Boudin, Eugène-Louis.", (182.1-1898). ,Baigneurs sur la plage de Trou ville (1869),Coll. Camondo
71,(149) ,"Boudin, Eugène-Louis.", (182.1-1898). ,La jetée de Dt::auville.,Coll. Camondo
72,(150) ,"Boudin, Eugène-Louis.", (182.1-1898). ,Voiliers.,Coll. Camondo
73,(210) ,"Boudin, Eugène-Louis.", (182.1-1898). ,Etude de ciel. Pastd.,Coll. Camondo
74,50 c ,"Boulanger,", Louis.(1806-1867). ,Portrait de jeune femme ,E. F. XIX^ S. 1er étage III
75,55 ,"Boulogne, Louis, ou de Boullongne.", (1654-17331. ,Mariage de Sainte Catherine ,XIV-N
76,56 ,"Boulongne, Valentin, dit Le Valentin.", (1591-1634). ,L'innocence de Suzanne reconnue ,XV-0
77,57 ,"Boulongne, Valentin, dit Le Valentin.", (1591-1634). ,Le jugement de Salomon. ,XV-0
78,59 ,"Boulongne, Valentin, dit Le Valentin.", (1591-1634). ,Un concert ,XIV-N
79,60 ,"Boulongne, Valentin, dit Le Valentin.", (1591-1634). ,Un concert ,XIV-N
80,62 ,"Boulongne, Valentin, dit Le Valentin.", (1591-1634). ,Un cabaret ,XII
81,64 ,"Bourdon, Sébastien.", (1616-1671). ,Le sacrifice de Noé à la sortie de l'arche ,XV-N
82,65 ,"Bourdon, Sébastien.", (1616-1671). ,Salomon sacrifiant aux idoles,S. Meubles XVIIe
83,69 ,"Bourdon, Sébastien.", (1616-1671). ,La présentation au temple ,XIV-S
84,70 ,"Bourdon, Sébastien.", (1616-1671). ,Le Christ et les enfants ,XIV-N
85,74 ,"Bourdon, Sébastien.", (1616-1671). ,Auguste devant le tombeau d'Alexandre ,XIV-S
87,75 ,"Bourdon,Sébastien",.(1616-1671). ,UnehaltedeBohémiens ,XIV-N
88,76 ,"Bourdon,Sébastien",.(1616-1671). ,Les mendiants. ,XIV-S
89,77 ,"Bourdon,Sébastien",.(1616-1671). ,Scène d'intérieur. ,I-E
90,78 ,"Bourdon,Sébastien",.(1616-1671). ,Portrait de René Descartes ,XIV-N
91,80 ,"Bourdon,Sébastien",.(1616-1671). ,"Son portrait par lui-même. XIV-N Bourguignon, Jacques Courtois, dit le.",- Voir Courtois
92,S. N° ,"Boze, Joseph,", (vers 1746-1826). ,"Portrait de Boze, par lui-même. Pastel.",S. des Pastels
93,S. N° ,"Boze, Joseph,", (vers 1746-1826). ,"Le duc d'Angoulême, enfant. Pastel",S. des Pastels
94,S. N° ,"Boze, Joseph,", (vers 1746-1826). ,Portrait de Madame de Provence en robe blanche. Pastel,S. des Pastels
95,83 ,"Brascassat, Jacques-Raymond.", (1804-1867). ,Paysage et animaux ,E. F. XIXe S. 1er étage I
96,S. o ,"Breton, Jules.", (1827-1906) ,Le rappel des glaneuses en Artois.,Marine 1
97,S. N° ,"Breton, Jules.", (1827-1906) ,La bénédiction des blés en Artois,Marine 1
98,S. N° ,"Breton, Jules.", (1827-1906) ,"La glaneuse — Brun, (Charles Le) et Brun (Mme Vigée Le). — Voir Le Brun","S. N° Bureau, Pierre-Isidore. (1822-1876). — Clair de lune sur les bords de l'Oise à l'Isle - Adam E. F. XIXe S. 1er étage 1"
99,S. N° ,"Breton, Jules.", (1827-1906) ,La route,"S. N° Bureau, Pierre-Isidore. (1822-1876). — Clair de lune sur les bords de l'Oise à l'Isle - Adam E. F. XIXe S. 1er étage III"
100,2931 ,"Cabat, Louis-Nicolas.", (1812-1893). ,L'étang de Vilk-d'Avray. ,E. F XIXe S. 2e étage 1
101,85 ,"Callet, Antoine-François.", (1741-1823). ,Les Saturnales ou l'Hiver. ,XVI-E
102,86 ,"Callet, Antoine-François.", (1741-1823). ,L'Automne ou les fêtes de Bacchus. ,XVI-E
103,87 ,"Callet, Antoine-François.", (1741-1823). ,Le triomphe de Flore. ,1-0
104,* ,"Callet, Antoine-François.", (1741-1823). ,Le printemps. Plafond.,Gai. d'Apollon
109,* ,"Carolus-Duran, Emile-Auguste.", 11837-1917). ,Le triomphe de Marie de Médicis. Plafond. 4me,S. Meubles XVIIIme
110,87 a ,"Carpeaux, Jean-Baptiste.", (1827-1875). ,Bal costumé aux Tuileries 1867 ,E. F. XIXe S. 2e étage II
113,(151) ,"Cézanne, Paul.", 1839-1906). ,La maison du pendu à Auvers-sur-Oise,Coll. Camondo
114,(152) ,"Cézanne, Paul.", 1839-1906). ,Dahlias dans un vase en faïence de Delft,Coll. Camondo
115,(153) ,"Cézanne, Paul.", 1839-1906). ,Les joueurs de cartes.,Coll. Camondo
116,(154) ,"Cézanne, Paul.", 1839-1906). ,Le vase bleu. Iris et pois de senteur,Coll. Camondo
117,(155) ,"Cézanne, Paul.", 1839-1906). ,Pommes et oranges.,Coll. Camondo
118,"S. N"" ","Challes, Noël", (milieu du XVIIIe S.) ,L'amour (Attr.),Coll. Schlichting
119,"S. N"" ","Challes, Noël", (milieu du XVIIIe S.) ,"Bacchus , Attribué)",Coll. Schlichting
120,89 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"La raie, ou le chat dans le garde-manger ",XVI-N
121,90 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Le buffet. Fruits, chien et perroquet. ",XVI-N
122,90 a ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"L'enfant au toton. Portrait de Gabriel Godefroy, fils cadet du joaillier Ch. Godefroy. ",XVI-N
123,90 b ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Le jeune homme au violon. Portrait de Charles Godefroy, frère aîné du précédent. ",XVI-N
124,91 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,La mère laborieuse ,XVI-N
125,92 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le bénédicité ,XVI-N
126,93 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le bénédicité ,1-0
127,94 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Lapin mort et ustensiles de chasse. ,XVI-S
128,95 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Menu de maigre. ,XVI-N
129,96 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Menu de gras. ,XVI-N
130,97 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le singe antiquaire. ,XVI-S
131,98 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Les attributs des arts. ,XVI-S
132,99 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,La pourvoyeuse ,XVI-N
133,100 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Les attributs de la musique. ,XVI-S
134,101 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Ustensiles variés. Pipe et vases à boire, sur une table de pierre. ",XVI-N
135,102 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Panier de pêches sur une table de pierre ,XVI-N
136,103 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le château de cartes. ,1-0
137,104 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le singe peintre. ,I-E
138,105 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Melon, poires et pêches ",1-0
139,106 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Raisins et grenades. , ",1-0
140,108 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"La fontaine de cuivre, ",I-E
141,109 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Un dessert. ,1-0
142,110 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Pêches, noix, raisins et verre de vin ",I-E
143,111 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Ustensiles divers. ,1-0
144,112 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Poires et verre de vin. ,1-0
145,113 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le gobelet d'argent ,1-0
146,114 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,La table de cuisine. ,1-0
147,115 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,Le panier de raisins. ,1-0
148,116 ,"Chardin, Jean-Baptiste-Siméon.", (1699-1779). ,"Ustensiles de cuisine et œufs. , ",I-E
154,120 ,"Chassériau, Théodore.", (1819-1856). ,Le tepidarium E.F. XIXe,S. 2e étage I
155,121 ,"Chassériau, Théodore.", (1819-1856). ,La chaste Suzanne ,VIII-N
156,121 a ,"Chassériau, Théodore.", (1819-1856). ,La Paix. Fragment de décoration provenant de la Cour des Comptes,Palier esc.T. T
157,121 b ,"Chassériau, Théodore.", (1819-1856). ,Une Océanide - -,Palier esc.T. T
158,121 c ,"Chassériau, Théodore.", (1819-1856). ,"Le père Lacordaire VIII-0 , 121 d — Portrait du peintre Marilhat , ",E. F. XIXe S. 2e étage II
159,S. N° ,"Chassériau, Théodore.", (1819-1856). ,Portrait de Melle Adèle Chassériau ,E. F. XIXe S. 1er étage III
160,S. N° ,"Chassériau, Théodore.", (1819-1856). ,Les deux soeurs de l'artiste ,VIII-0
161,S. N° ,"Chassériau, Théodore.", (1819-1856). ,Caïd visitant un douar. ,E. F. XIXe S. 1er étage I
162,S. N° ,"Chassériau, Théodore.", (1819-1856). ,Vénus marine,E. F. XIXe S. 1er étage II
163,S. N° ,"Chassériau, Théodore.", (1819-1856). ,Chefs arabes se défiant en combat singulier,E. F. XIXe S. 1er étage II
164,S. N° ,"Chassériau, Théodore.", (1819-1856). ,Macbeth rencontre les sorcières sur la bruyère,E. F. XIXe S. 1er étage II
165,123 ,"Chintreuil, Antoine.", (1814-1873). ,L'espace ,E. F. XIXe S. 2e étage I
166,125 ,"Chintreuil, Antoine.", (1814-1873). ,"Pluie et soleil. ,",E. F. XIXe S. 2e étage I
167,125 a ,"Chintreuil, Antoine.", (1814-1873). ,Etude.,E. F. XIXe S. 2e étage H
168,125 a ,"Chintreuil, Antoine.", (1814-1873). ,Etude,E. F. XIXe S. 2e étage H
169,125 a ,"Chintreuil, Antoine.", (1814-1873). ,"Le bateau abandonné, Villebon, étude.",E. F. XIXe S. 2e étage H
170,125 a ,"Chintreuil, Antoine.", (1814-1873). ,Etude de paysage ,E. F. XIXe S. 1er étage II
171,126 ,"Clouet (attribué à) Jean, dit Jehannet, Jeannet ou Janet.", (vers 14 75-1540). ,"Portrait de François Ier, roi de France ",XI
172,127 ,"Clouet (attribué à) Jean, dit Jehannet, Jeannet ou Janet.", (vers 14 75-1540). ,"Portrait de François 1er, roi de France ",XI
173,128 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Charles IX, roi de France i D'après) ",XI
174,129 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Henri H, roi de France. (D'aprèsi ",XI
175,130 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait d'Elisabeth d'Autriche, reine de France, femme de Charles IX (Attribué). ",XI
176,131 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de François de Lorraine, duc de Guise, tué au siège d'Orléans en 1563. (réplique présumée)  ",XI
177,131 a ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Henri II, en buste (réplique présumée 1 ",XI
178,132 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Charles IX, en buste, (réplique présumée). ",XI
179,133 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait d'Elisabeth d'Autriche, reine de France, femme de Charles IX, en buste, avec toque à plumes (réplique présumée)",- XI
180,133 a ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Claude de Beaune, dame de Châteaubrun, duchesse de Roannois (réplique présumée) ",XI
181,133 b ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Jean Babou, seigneur de la Bourdaisière, maréchal général de l'artillerie en 1567 (réplique présumée) ",XI
182,"S. X"" ","Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,Portrait de François Ier à cheval; miniature (Ec. de) ,XI
183,* ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Henri II (d'après, par Gérôme) IIlme",S. de la Colonnade
184,134 ,"Clouet, François, dit Jehannet, ou Janet.", (mort en 1572). ,"Portrait de Louis de Saint-Gelais, dit de Lezignem, baron de La-Mothe-Saint-Héraye seigneur de Lansac (Ecole de). ",XI
185,135 ,"Cochereau, Léon-Mathieu.", (1793-1817). ,"Intérieur de l'atelier des élèves de David au Collège des Quatre Nations, à Paris. ",III-E
186,* ,"Cogniet, Léon.", ( 1794-1KN0). ,"Plafond: Expédition d'Egypte sous les ordres de Bonaparte. — Voussures : Bataille d'Aboukir, Révolte du Caire, le Pardon aux révoltés du Caire, Peste de Jaffa.","S. des fresques et verres antiques i^l) Constant, Benjamin. (1815-1902). Portrait d'A. Chau- chard Coll. Chauchard III"
187,138 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Une matinée. La danse des nymphes. ,VIII-0
188,139 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Vue du Forum romain ,E. F. XIXe S. 2e étage 1
189,140 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Vue du Colisée, à Rome.",E. F. XIXe S. 2e étage 1
190,141 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Paysage. Souvenir de Mortefontaine ,E. F. XIXe S. 1er étage III
191,141 a ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Chevrier italien; effet de soleil couchant ,E. F. XIXe S. 2e étage 1
192,141 b ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Souvenir de Castel-Gondolfo; paysage ,E. F. XIXe S. 1er étage III
193,141 c ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Madeleine lisant. 2e,E. F. XIXe S. 1er étage 1
194,141 d ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le repos des chevaux.,E. F. XIXe S. 1er étage 1
195,141 e ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Les baigneuses.,E. F. XIXe S. 1er étage 1
196,141 f ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le beffroi de Douai 1871 ,E. F. XIXe S. 1er étage 1
197,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Venise. La piazetta, 1834 ",E. F. XIXe S. 2e étage 1
198,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le coup de vent,E. F. XIXe S. 2e étage II
199,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Homme en armure.,Palier esc. T. T.
200,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Portrait de Melle Sennegon, nièce de l'artiste ",E. F. XIXe S. 1er étage 1
201,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Intérieur de la cathédrale de Sens,E. F. XIXe S. 1er étage II
202,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Portrait de femme, dite la femme à la perle ",VIII-N
203,S. N° ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"La Trinité-des-Monts, vue de l'Académie de France à Rome ",E. F. XIXe S. 1er étage II
204,2801 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le vallon. ,T. T.
205,2802 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,La porte de jerzual à Dinan. ,T. T.
206,2803 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le chemin de Sevrés. ,T. T.
207,2804 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Danse de bergers de Sorrente ,T. T.
208,2805 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,La Saulaie.  ,T. T.
209,2806 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Souvenir d'Italie. ,T. T.
210,2807 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,L'étang. ,T. T.
211,2808 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Entrée de village (environs de Beauvais) ,T. T.
212,2809 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Les chaumières. ,T. T.
213,2810 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"La route de Sin-le-Noble, près Douai (dite la Route d'Arras! , ",T. T.
214,2811 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Le soir. , , ",T. T.
215,2812 ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,L'églogue. ,T. T.
216,(2) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le pêcheur en barque sur ['étang,"Coll. Chauchard, galerie"
217,(3) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,La charrette. Souvenir de Marcoussis.,"Coll. Chauchard, galerie"
218,(4) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Une soirée. ,","Coll. Chauchard, II"
219,(6) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Chevrier jouant de la flûte dans une clairière,"Coll. Chauchard, IV"
220,(7) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Nymphe désarmant l'Amour.,"Coll. Chauchard, IV"
221,(8) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Danse des nymphes.,"Coll. Chauchard, IV"
222,(9) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Les chevriers des lies Borroiiiées,"Coll. Chauchard, IV"
223,(10) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,La route,"Coll. Chauchard, IV"
224,(11) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,"Le matin, ou la clairière au lever du jour","Coll. Chauchard, galerie"
225,(12) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,L'étang de Ville d'Avray,"Coll. Chauchard, III"
226,(13) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le passeur.,"Coll. Chauchard, III"
227,(14) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le pâtre devant l'étang.,"Coll. Chauchard, galerie"
228,(15) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le repos sous les saules,"Coll. Chauchard, galerie"
229,(16) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le passage du gué.,"Coll. Chauchard, galerie"
230,(17) ,"Corot, Jean-Baptiste-Camille.", (1796-1875). ,Le matin.,"Coll. Chauchard, IV"
231,(18) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Le soir,"Coll. Chauchard, IV"
232,(19) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Le catalpa. Souvenir de Ville d'A\Tay.,"Coll. Chauchard, IV"
233,(20) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,La clairière. Souvenir de Ville d'Avray,"Coll. Chauchard, IV"
234,(21) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Les marécages à la Tour carrée,"Coll. Chauchard, galerie"
235,(22) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,La levée des htets.,"Coll. Chauchard, 1"
236,(23) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Le pont de Palluel — III (24> — La danse des bergères. Souvenir d'Arleux,"Coll. Chauchard, galerie"
237,(25) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Près Arras. Les bûcheronnes.,"Coll. Chauchard, IV"
238,(26) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Souvenir des Landes.,"Coll. Chauchard, IV"
239,(27 ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Le Moulin de Saint-Nicolas-lès-Arras,"Coll. Chauchard, 1"
240,(156) ,"Corot, Jean-Baptiste-Camille.", (171)6-18751. ,Fillette à sa toilette,Coll. Camondo
