,author,life,title,width,height,wall,position,image_path
23,Benouville françois léon, (1821-1859». ,saint françois d'assise transporté mourant à saintemarie des anges bénit la ville d'assise,,,O,VIII,data/images_paintings/23.jpg
24,Bidault jean joseph xavier, (1758-1846). ,vue prise de subiaco,,,,E F XIXe S 1er étage I,data/images_paintings/24.jpg
25,Bidault jean joseph xavier, (1758-1846). ,vue d'avezzano et du lac de celano,,,,E F XIXe S 1er étage I,
26,Biennoury victor françois eloi, (1823-1893) ,les sculptures grecque romaine française camaïeux dans les tympans,,,,S de Mécène,
27,Biennoury victor françois eloi, (1823-1893) ,l'empire romain l'empire français camaïeux dans les tympans,,,,S d'Auguste,
28,Blain ou belin de fontenay jean baptiste, (1653- 1715). ,vase d'or fleurs et fruits,,,,S Meubles XVIIe,
29,Blain ou belin de fontenay jean baptiste, (1653- 1715). ,vase doré rempli de fleurs,,,,S Meubles XVIIe,
30,Blanchard jacques, (16oo-r638). ,la charité,136.0,110.0,S,XIV,data/images_paintings/30.jpg
31,Blanchard jacques, (16oo-r638). ,cimon et iphigénie ,,,N,XIV,
32,Blondel merry joseph," (1781-1853)., ",le soleil la  chute d'icare coupole circulaire partie centraie,,,,Galerie d'Apollon,
33,Blondel merry joseph," (1781-1853)., ",différend de neptune et de minerve plafond tableau du centre,,,,II,
34,Blondel merry joseph," (1781-1853)., ",mars la paix plafond côtés gauche et droit,,,,II,
35,Blondel merry joseph," (1781-1853)., ",la france victorieuse à bouvines plafond,,,,S Meubles XVIIe,
36,Boilly louis léopold, (1761-1845). ,l'arrivée d'une diligence dans la cour des messageries à paris,,,N,XVI,data/images_paintings/36.jpg
37,Boilly louis léopold, (1761-1845). ,les amateurs d'estampes ,24.5,32.5,E,XVI,data/images_paintings/37.jpg
38,Boilly louis léopold, (1761-1845). ,réunion d'artistes dans l'atelier d'isabey,111.0,71.5,N,XVI,data/images_paintings/38.jpg
39,Bonheur rosa, (1822-1899). ,labourage nivernais,,,,Marine,data/images_paintings/39.jpg
40,Borowikoffsky wladimir, (1757-1825). ,portrait de l'impératrice elisabeth de russie d'après   ecole russe,,,,Coll Schlichting,
41,Boucher françois, (1703-1770). ,diane sortant du bain avec une de ses compagnes,,,S,XVI,
42,Boucher françois, (1703-1770). ,vénus commandant à vulcain des armes pour enée,,,N,XVI,
43,Boucher françois, (1703-1770). ,la bergère endormie,,,S,XVI,data/images_paintings/43.jpg
44,Boucher françois, (1703-1770). ,la musette,,,S,XVI,data/images_paintings/44.jpg
45,Boucher françois, (1703-1770). ,sujet pastoral le nid,,,N,XVI,
46,Boucher françois, (1703-1770). ,sujet pastoral berger et bergères,,,N,XVI,data/images_paintings/46.jpg
47,Boucher françois, (1703-1770). ,vulcain présentant à vénus des armes pour enée,320.0,320.0,S,XVI,data/images_paintings/47.jpg
48,Boucher françois, (1703-1770). ,vertumne et pomone,122.0,147.5,S,XVI,data/images_paintings/48.jpg
49,Boucher françois, (1703-1770). ,céphale et l'aurore,117.5,142.0,N,XVI,data/images_paintings/49.jpg
50,Boucher françois, (1703-1770). ,l'enlèvement d'europe,193.5,160.5,S,XVI,data/images_paintings/50.jpg
51,Boucher françois, (1703-1770). ,neptune et amymone,225.0,240.0,,Esc Henri IV,data/images_paintings/51.jpg
52,Boucher françois, (1703-1770). ,les jeux de l'amour la cible d'amour,,,N,XVI,data/images_paintings/52.jpg
53,Boucher françois, (1703-1770). ,la toilette de vénus,85.1,108.3,N,XVI,data/images_paintings/53.jpg
54,Boucher françois, (1703-1770). ,vénus désarmant l'amour,,,N,XVI,
55,Boucher françois, (1703-1770). ,pastorale iii'1,,,,Ire S Meubles XVIIIe,data/images_paintings/55.jpg
56,Boucher françois, (1703-1770). ,l'oiseau pris dans les filets,205.0,150.0,N,XVI,data/images_paintings/56.jpg
57,Boucher françois, (1703-1770). ,vénus chez vulcain,,,E,I,
58,Boucher françois, (1703-1770). ,le peintre dans son atelier,22.0,27.0,E,I,data/images_paintings/58.jpg
59,Boucher françois, (1703-1770). ,les forges de vulcain,320.0,320.0,E,I,data/images_paintings/59.jpg
60,Boucher françois, (1703-1770). ,portrait de jeune femme,46.0,56.8,E,I,data/images_paintings/60.jpg
61,Boucher françois, (1703-1770). ,le déjeuner,65.5,81.5,S,XVI,data/images_paintings/61.jpg
62,Boucher françois, (1703-1770). ,renaud et armide,170.5,135.5,S,XVI,data/images_paintings/62.jpg
63,Boucher françois, (1703-1770). ,paysage le pont,,,S,XVI,
64,Boucher françois, (1703-1770). ,paysage le moulin,,,S,XVI,
65,Boucher françois, (1703-1770). ,portrait supposé de la mise de pompadour attr,,,,Coll Schlichting,
66,Boucher françois, (1703-1770). ,tête d'étude pastel,,,,S des Pastels,
67,Boudin eugène louis, (182.1-1898). ,baigneurs sur la plage de trou ville 1869,,,,Musée Charles X S III,
68,Boudin eugène louis, (182.1-1898). ,la jetée de dtauville,,,,Musée Charles X S III,
69,Boudin eugène louis, (182.1-1898). ,voiliers,41.9,31.4,,Musée Charles X S III,data/images_paintings/69.jpg
70,Boudin eugène louis, (182.1-1898). ,etude de ciel pastd,,,,Musée Charles X S III,
71,Boulanger, Louis.(1806-1867). ,portrait de jeune femme,,,,E F XIXe S 1er étage III,
72,Boulogne louis, (1654-17331. ,mariage de sainte catherine,,,N,XIV,
73,Boulongne valentin, (1591-1634). ,l'innocence de suzanne reconnue,,,O,XV,
74,Boulongne valentin, (1591-1634). ,le jugement de salomon,,,O,XV,
75,Boulongne valentin, (1591-1634). ,un concert,,,N,XIV,
76,Boulongne valentin, (1591-1634). ,un concert,,,N,XIV,
77,Boulongne valentin, (1591-1634). ,un cabaret,,,,XII,
78,Bourdon sébastien, (1616-1671). ,le sacrifice de noé à la sortie de l'arche,,,N,XV,
79,Bourdon sébastien, (1616-1671). ,salomon sacrifiant aux idoles,145.0,156.0,,S Meubles XVIIe,data/images_paintings/79.jpg
80,Bourdon sébastien, (1616-1671). ,la présentation au temple,61.0,71.0,S,XIV,data/images_paintings/80.jpg
81,Bourdon sébastien, (1616-1671). ,le christ et les enfants,61.0,50.0,N,XIV,data/images_paintings/81.jpg
82,Bourdon sébastien, (1616-1671). ,auguste devant le tombeau d'alexandre,139.0,111.0,S,XIV,data/images_paintings/82.jpg
83,Bourdonsébastien,.(1616-1671). ,unehaltedebohémiens,,,N,XIV,
84,Bourdonsébastien,.(1616-1671). ,les mendiants,,,S,XIV,
85,Bourdonsébastien,.(1616-1671). ,scène d'intérieur,,,E,I,
86,Bourdonsébastien,.(1616-1671). ,portrait de rené descartes,,,N,XIV,
87,Bourdonsébastien,.(1616-1671). ,son portrait par lui même xiv n bourguignon jacques courtois dit le,,,,Musée Charles X S III,
88,Boze joseph, (vers 1746-1826). ,portrait de boze par lui même pastel,,,,S des Pastels,
89,Boze joseph, (vers 1746-1826). ,le duc d'angoulême enfant pastel,,,,S des Pastels,
90,Boze joseph, (vers 1746-1826). ,portrait de madame de provence en robe blanche pastel,,,,S des Pastels,
91,Brascassat jacques raymond, (1804-1867). ,paysage et animaux,131.0,98.0,,E F XIXe S 1er étage I,data/images_paintings/91.jpg
92,Breton jules, (1827-1906) ,le rappel des glaneuses en artois,,,,Marine,
93,Breton jules, (1827-1906) ,la bénédiction des blés en artois,318.0,128.0,,Marine,data/images_paintings/93.jpg
94,Breton jules, (1827-1906) ,la glaneuse — brun charles le et brun mme vigée le — voir le brun,,,,Musée Charles X S III,
95,Breton jules, (1827-1906) ,la route,,,,Musée Charles X S III,
96,Cabat louis nicolas, (1812-1893). ,l'étang de vilk d'avray,,,,E F XIXe S 2e étage I,
97,Callet antoine françois, (1741-1823). ,les saturnales ou l'hiver,,,E,XVI,
98,Callet antoine françois, (1741-1823). ,l'automne ou les fêtes de bacchus,,,E,XVI,
99,Callet antoine françois, (1741-1823). ,le triomphe de flore,96.5,53.5,O,I,data/images_paintings/99.jpg
100,Callet antoine françois, (1741-1823). ,le printemps plafond,,,,Galerie d'Apollon,
101,Carolus duran emile auguste, 11837-1917). ,le triomphe de marie de médicis plafond 4me,,,,Ire S Meubles XVIIIe,
102,Carpeaux jean baptiste, (1827-1875). ,bal costumé aux tuileries 1867,,,,E F XIXe S 2e étage II,
103,Cézanne paul, 1839-1906). ,la maison du pendu à auvers sur oise,,,,Musée Charles X S III,
104,Cézanne paul, 1839-1906). ,dahlias dans un vase en faïence de delft,,,,Musée Charles X S III,
105,Cézanne paul, 1839-1906). ,les joueurs de cartes,181.9,135.3,,Musée Charles X S III,data/images_paintings/105.jpg
106,Cézanne paul, 1839-1906). ,le vase bleu iris et pois de senteur,,,,Musée Charles X S III,
107,Cézanne paul, 1839-1906). ,pommes et oranges,93.0,74.0,,Musée Charles X S III,data/images_paintings/107.jpg
108,Challes noël, (milieu du XVIIIe S.) ,l'amour attr,,,,Coll Schlichting,
109,Challes noël, (milieu du XVIIIe S.) ,bacchus  attribué,,,,Coll Schlichting,
110,Chardin jean baptiste siméon, (1699-1779). ,la raie ou le chat dans le garde manger,,,N,XVI,data/images_paintings/110.jpg
111,Chardin jean baptiste siméon, (1699-1779). ,le buffet fruits chien et perroquet,,,N,XVI,data/images_paintings/111.jpg
112,Chardin jean baptiste siméon, (1699-1779). ,l'enfant au toton portrait de gabriel godefroy fils cadet du joaillier ch godefroy,,,N,XVI,
113,Chardin jean baptiste siméon, (1699-1779). ,le jeune homme au violon portrait de charles godefroy frère aîné du précédent,,,N,XVI,
114,Chardin jean baptiste siméon, (1699-1779). ,la mère laborieuse,39.0,49.0,N,XVI,data/images_paintings/114.jpg
115,Chardin jean baptiste siméon, (1699-1779). ,le bénédicité,41.0,49.5,N,XVI,data/images_paintings/115.jpg
116,Chardin jean baptiste siméon, (1699-1779). ,le bénédicité,41.0,49.5,O,I,data/images_paintings/116.jpg
117,Chardin jean baptiste siméon, (1699-1779). ,lapin mort et ustensiles de chasse,,,S,XVI,
118,Chardin jean baptiste siméon, (1699-1779). ,menu de maigre,41.0,33.0,N,XVI,data/images_paintings/118.jpg
119,Chardin jean baptiste siméon, (1699-1779). ,menu de gras,41.0,33.0,N,XVI,data/images_paintings/119.jpg
120,Chardin jean baptiste siméon, (1699-1779). ,le singe antiquaire,64.5,81.0,S,XVI,data/images_paintings/120.jpg
121,Chardin jean baptiste siméon, (1699-1779). ,les attributs des arts,145.0,91.0,S,XVI,data/images_paintings/121.jpg
122,Chardin jean baptiste siméon, (1699-1779). ,la pourvoyeuse,38.0,47.0,N,XVI,data/images_paintings/122.jpg
123,Chardin jean baptiste siméon, (1699-1779). ,les attributs de la musique,145.0,91.0,S,XVI,data/images_paintings/123.jpg
124,Chardin jean baptiste siméon, (1699-1779). ,ustensiles variés pipe et vases à boire sur une table de pierre,,,N,XVI,
125,Chardin jean baptiste siméon, (1699-1779). ,panier de pêches sur une table de pierre,,,N,XVI,
126,Chardin jean baptiste siméon, (1699-1779). ,le château de cartes,68.0,77.0,O,I,data/images_paintings/126.jpg
127,Chardin jean baptiste siméon, (1699-1779). ,le singe peintre,59.5,73.0,E,I,data/images_paintings/127.jpg
128,Chardin jean baptiste siméon, (1699-1779). ,melon poires et pêches,52.0,60.0,O,I,data/images_paintings/128.jpg
129,Chardin jean baptiste siméon, (1699-1779). ,raisins et grenades ,57.0,47.0,O,I,data/images_paintings/129.jpg
130,Chardin jean baptiste siméon, (1699-1779). ,la fontaine de cuivre,23.0,28.5,E,I,data/images_paintings/130.jpg
131,Chardin jean baptiste siméon, (1699-1779). ,un dessert,56.0,47.0,O,I,data/images_paintings/131.jpg
132,Chardin jean baptiste siméon, (1699-1779). ,pêches noix raisins et verre de vin,,,E,I,
133,Chardin jean baptiste siméon, (1699-1779). ,ustensiles divers,,,O,I,
134,Chardin jean baptiste siméon, (1699-1779). ,poires et verre de vin,41.0,33.0,O,I,data/images_paintings/134.jpg
135,Chardin jean baptiste siméon, (1699-1779). ,le gobelet d'argent,41.0,33.0,O,I,data/images_paintings/135.jpg
136,Chardin jean baptiste siméon, (1699-1779). ,la table de cuisine,129.0,151.0,O,I,data/images_paintings/136.jpg
137,Chardin jean baptiste siméon, (1699-1779). ,le panier de raisins,58.0,69.0,O,I,data/images_paintings/137.jpg
138,Chardin jean baptiste siméon, (1699-1779). ,ustensiles de cuisine et œufs ,21.0,17.0,E,I,data/images_paintings/138.jpg
139,Chassériau théodore, (1819-1856). ,le tepidarium ef xixe,,,,Musée Charles X S III,
140,Chassériau théodore, (1819-1856). ,la chaste suzanne,,,N,VIII,data/images_paintings/140.jpg
141,Chassériau théodore, (1819-1856). ,la paix fragment de décoration provenant de la cour des comptes,,,,Esc T T,
142,Chassériau théodore, (1819-1856). ,une océanide,,,,Esc T T,
143,Chassériau théodore, (1819-1856). ,le père lacordaire viii 0  121 d — portrait du peintre marilhat ,,,,E F XIXe S 2e étage II,data/images_paintings/143.jpg
144,Chassériau théodore, (1819-1856). ,portrait de melle adèle chassériau,,,,E F XIXe S 1er étage III,
145,Chassériau théodore, (1819-1856). ,les deux soeurs de l'artiste,135.0,180.0,O,VIII,data/images_paintings/145.jpg
146,Chassériau théodore, (1819-1856). ,caïd visitant un douar,200.0,142.0,,E F XIXe S 1er étage I,data/images_paintings/146.jpg
147,Chassériau théodore, (1819-1856). ,vénus marine,55.0,65.5,,E F XIXe S 1er étage II,data/images_paintings/147.jpg
148,Chassériau théodore, (1819-1856). ,chefs arabes se défiant en combat singulier,,,,E F XIXe S 1er étage II,
149,Chassériau théodore, (1819-1856). ,macbeth rencontre les sorcières sur la bruyère,,,,E F XIXe S 1er étage II,
150,Chintreuil antoine, (1814-1873). ,l'espace,204.0,102.0,,E F XIXe S 2e étage I,data/images_paintings/150.jpg
151,Chintreuil antoine, (1814-1873). ,pluie et soleil ,216.0,105.0,,E F XIXe S 2e étage I,data/images_paintings/151.jpg
152,Chintreuil antoine, (1814-1873). ,etude,42.0,21.0,,E F XIXe S 2e étage II,
153,Chintreuil antoine, (1814-1873). ,etude,42.0,21.0,,E F XIXe S 2e étage II,
154,Chintreuil antoine, (1814-1873). ,le bateau abandonné villebon étude,,,,E F XIXe S 2e étage II,
155,Chintreuil antoine, (1814-1873). ,etude de paysage,,,,E F XIXe S 1er étage II,
156,Clouet attribué à jean dit jehannet, (vers 14 75-1540). ,portrait de françois ier roi de france,,,,XI,
157,Clouet attribué à jean dit jehannet, (vers 14 75-1540). ,portrait de françois 1er roi de france,,,,XI,
158,Clouet françois, (mort en 1572). ,portrait de charles ix roi de france i d'après,,,,XI,
159,Clouet françois, (mort en 1572). ,portrait de henri h roi de france d'aprèsi,,,,XI,
160,Clouet françois, (mort en 1572). ,portrait d'elisabeth d'autriche reine de france femme de charles ix attribué,,,,XI,data/images_paintings/160.jpg
161,Clouet françois, (mort en 1572). ,portrait de françois de lorraine duc de guise tué au siège d'orléans en 1563 réplique présumée,,,,XI,
162,Clouet françois, (mort en 1572). ,portrait de henri ii en buste réplique présumée 1,,,,XI,
163,Clouet françois, (mort en 1572). ,portrait de charles ix en buste réplique présumée,,,,XI,
164,Clouet françois, (mort en 1572). ,portrait d'elisabeth d'autriche reine de france femme de charles ix en buste avec toque à plumes réplique présumée,,,,XI,
165,Clouet françois, (mort en 1572). ,portrait de claude de beaune dame de châteaubrun duchesse de roannois réplique présumée,,,,XI,
166,Clouet françois, (mort en 1572). ,portrait de jean babou seigneur de la bourdaisière maréchal général de l'artillerie en 1567 réplique présumée,,,,XI,
167,Clouet françois, (mort en 1572). ,portrait de françois ier à cheval miniature ec de,,,,XI,
168,Clouet françois, (mort en 1572). ,portrait de henri ii d'après par gérôme iilme,,,,S de la Colonnade,
169,Clouet françois, (mort en 1572). ,portrait de louis de saint gelais dit de lezignem baron de la mothe saint héraye seigneur de lansac ecole de,,,,XI,
170,Cochereau léon mathieu, (1793-1817). ,intérieur de l'atelier des élèves de david au collège des quatre nations à paris,,,E,III,
171,Cogniet léon, ( 1794-1KN0). ,plafond expédition d'egypte sous les ordres de bonaparte — voussures  bataille d'aboukir révolte du caire le pardon aux révoltés du caire peste de jaffa,,,,S des fresques et verres antiques,
172,Corot jean baptiste camille, (1796-1875). ,une matinée la danse des nymphes,132.0,97.0,O,VIII,data/images_paintings/172.jpg
173,Corot jean baptiste camille, (1796-1875). ,vue du forum romain,,,,E F XIXe S 2e étage I,
174,Corot jean baptiste camille, (1796-1875). ,vue du colisée à rome,,,,E F XIXe S 2e étage I,
175,Corot jean baptiste camille, (1796-1875). ,paysage souvenir de mortefontaine,,,,E F XIXe S 1er étage III,
176,Corot jean baptiste camille, (1796-1875). ,chevrier italien effet de soleil couchant,147.0,194.5,,E F XIXe S 2e étage I,data/images_paintings/176.jpg
177,Corot jean baptiste camille, (1796-1875). ,souvenir de castel gondolfo paysage,,,,E F XIXe S 1er étage III,data/images_paintings/177.jpg
178,Corot jean baptiste camille, (1796-1875). ,madeleine lisant 2e,,,,E F XIXe S 1er étage I,
179,Corot jean baptiste camille, (1796-1875). ,le repos des chevaux,100.0,60.5,,E F XIXe S 1er étage I,data/images_paintings/179.jpg
180,Corot jean baptiste camille, (1796-1875). ,les baigneuses,94.0,80.5,,E F XIXe S 1er étage I,data/images_paintings/180.jpg
181,Corot jean baptiste camille, (1796-1875). ,le beffroi de douai 1871,,,,E F XIXe S 1er étage I,
182,Corot jean baptiste camille, (1796-1875). ,venise la piazetta 1834,,,,E F XIXe S 2e étage I,
183,Corot jean baptiste camille, (1796-1875). ,le coup de vent,56.6,40.0,,E F XIXe S 2e étage II,data/images_paintings/183.jpg
184,Corot jean baptiste camille, (1796-1875). ,homme en armure,59.0,73.5,,Esc T T,data/images_paintings/184.jpg
185,Corot jean baptiste camille, (1796-1875). ,portrait de melle sennegon nièce de l'artiste,,,,E F XIXe S 1er étage I,
186,Corot jean baptiste camille, (1796-1875). ,intérieur de la cathédrale de sens,40.0,61.0,,E F XIXe S 1er étage II,data/images_paintings/186.jpg
187,Corot jean baptiste camille, (1796-1875). ,portrait de femme dite la femme à la perle,,,N,VIII,
188,Corot jean baptiste camille, (1796-1875). ,la trinité des monts vue de l'académie de france à rome,,,,E F XIXe S 1er étage II,
189,Corot jean baptiste camille, (1796-1875). ,le vallon,53.5,35.0,,T T,data/images_paintings/189.jpg
190,Corot jean baptiste camille, (1796-1875). ,la porte de jerzual à dinan,34.5,43.0,,T T,data/images_paintings/190.jpg
191,Corot jean baptiste camille, (1796-1875). ,le chemin de sevrés,49.0,34.0,,T T,data/images_paintings/191.jpg
192,Corot jean baptiste camille, (1796-1875). ,danse de bergers de sorrente,,,,T T,
193,Corot jean baptiste camille, (1796-1875). ,la saulaie,52.3,32.0,,T T,data/images_paintings/193.jpg
194,Corot jean baptiste camille, (1796-1875). ,souvenir d'italie,38.5,46.5,,T T,
195,Corot jean baptiste camille, (1796-1875). ,l'étang,68.0,47.0,,T T,data/images_paintings/195.jpg
196,Corot jean baptiste camille, (1796-1875). ,entrée de village environs de beauvais,,,,T T,
197,Corot jean baptiste camille, (1796-1875). ,les chaumières,45.0,37.0,,T T,data/images_paintings/197.jpg
198,Corot jean baptiste camille, (1796-1875). ,la route de sin le noble près douai dite la route d'arras ,,,,T T,
199,Corot jean baptiste camille, (1796-1875). ,le soir  ,102.0,62.5,,T T,data/images_paintings/199.jpg
200,Corot jean baptiste camille, (1796-1875). ,l'églogue,,,,T T,
201,Corot jean baptiste camille, (1796-1875). ,le pêcheur en barque sur 'étang,,,,Coll Chauchard galerie,
202,Corot jean baptiste camille, (1796-1875). ,la charrette souvenir de marcoussis,130.3,98.2,,Coll Chauchard galerie,data/images_paintings/202.jpg
203,Corot jean baptiste camille, (1796-1875). ,une soirée ,73.0,51.5,,Coll Chauchard II,data/images_paintings/203.jpg
204,Corot jean baptiste camille, (1796-1875). ,chevrier jouant de la flûte dans une clairière,85.0,100.0,,Coll Chauchard IV,data/images_paintings/204.jpg
205,Corot jean baptiste camille, (1796-1875). ,nymphe désarmant l'amour,,,,Coll Chauchard IV,
206,Corot jean baptiste camille, (1796-1875). ,danse des nymphes,132.0,97.0,,Coll Chauchard IV,data/images_paintings/206.jpg
207,Corot jean baptiste camille, (1796-1875). ,les chevriers des lies borroiiiées,,,,Coll Chauchard IV,
208,Corot jean baptiste camille, (1796-1875). ,la route,81.0,60.0,,Coll Chauchard IV,data/images_paintings/208.jpg
209,Corot jean baptiste camille, (1796-1875). ,le matin ou la clairière au lever du jour,,,,Coll Chauchard galerie,
210,Corot jean baptiste camille, (1796-1875). ,l'étang de ville d'avray,55.2,46.4,,Coll Chauchard III,data/images_paintings/210.jpg
211,Corot jean baptiste camille, (1796-1875). ,le passeur,134.0,107.5,,Coll Chauchard III,data/images_paintings/211.jpg
212,Corot jean baptiste camille, (1796-1875). ,le pâtre devant l'étang,41.0,27.5,,Coll Chauchard galerie,data/images_paintings/212.jpg
213,Corot jean baptiste camille, (1796-1875). ,le repos sous les saules,60.5,45.0,,Coll Chauchard galerie,data/images_paintings/213.jpg
214,Corot jean baptiste camille, (1796-1875). ,le passage du gué,,99.0,,Coll Chauchard galerie,data/images_paintings/214.jpg
215,Corot jean baptiste camille, (1796-1875). ,le matin,257.5,168.8,,Coll Chauchard IV,data/images_paintings/215.jpg
216,Corot jean baptiste camille, (171)6-18751. ,le soir,102.0,62.5,,Coll Chauchard IV,data/images_paintings/216.jpg
217,Corot jean baptiste camille, (171)6-18751. ,le catalpa souvenir de ville d'atay,,,,Coll Chauchard IV,
218,Corot jean baptiste camille, (171)6-18751. ,la clairière souvenir de ville d'avray,134.0,100.0,,Coll Chauchard IV,data/images_paintings/218.jpg
219,Corot jean baptiste camille, (171)6-18751. ,les marécages à la tour carrée,,,,Coll Chauchard galerie,
220,Corot jean baptiste camille, (171)6-18751. ,la levée des htets,,,,Musée Charles X S III,
221,Corot jean baptiste camille, (171)6-18751. ,le pont de palluel — iii 24 — la danse des bergères souvenir d'arleux,,,,Coll Chauchard galerie,
222,Corot jean baptiste camille, (171)6-18751. ,près arras les bûcheronnes,115.0,88.0,,Coll Chauchard IV,
223,Corot jean baptiste camille, (171)6-18751. ,souvenir des landes,69.0,44.0,,Coll Chauchard IV,data/images_paintings/223.jpg
224,Corot jean baptiste camille, (171)6-18751. ,le moulin de saint nicolas lès arras,81.0,65.0,,Musée Charles X S III,data/images_paintings/224.jpg
225,Corot jean baptiste camille, (171)6-18751. ,fillette à sa toilette,24.2,34.0,,Musée Charles X S III,data/images_paintings/225.jpg
226,Couder louis charles auguste, (1790-1873). ,la terre combat d'hercule et d'antée — l'eau achille près d'être englouti par le xanthe et le simoïs — le feu vénus recevant de vulcain les armes pour enée,,,,Vest Galerie d'Apollon coupole,
227,Courbet gustave, (1819-1877). ,un enterrement à ornans,668.0,315.45,E,VIII,data/images_paintings/227.jpg
228,Courbet gustave, (1819-1877). ,l'homme blessé ,97.5,81.5,S,VIII,data/images_paintings/228.jpg
229,Courbet gustave, (1819-1877). ,portrait de champfleury ,38.1,46.3,,E F XIXe S 2e étage I,data/images_paintings/229.jpg
230,Courbet gustave, (1819-1877). ,combat de cerfs,507.0,355.0,E,VIII,data/images_paintings/230.jpg
231,Courbet gustave, (1819-1877). ,remise de chevreuils,72.5,54.0,O,VIII,data/images_paintings/231.jpg
232,Courbet gustave, (1819-1877). ,chevreuil sous bois,,,,E F XIXe S 1er étage II,data/images_paintings/232.jpg
233,Courbet gustave, (1819-1877). ,l'homme à la ceinture de cuir son portrait par lui même,,,E,VIII,data/images_paintings/233.jpg
234,Courbet gustave, (1819-1877). ,la mer orageuse,160.5,117.0,,E F XIXe S 1er étage III,data/images_paintings/234.jpg
235,Courbet gustave, (1819-1877). ,la source ,74.3,120.0,E,VIII,data/images_paintings/235.jpg
236,Courbet gustave, (1819-1877). ,l'atelier du peintre allégorie réelle,,,E,VIII,
237,Courbet gustave, (1819-1877). ,portrait de berlioz en buste de trois quarts à droite1,,,,E F XIXe S 2e étage I,
238,Courtois jacques, (1621-1676). ,combat de cavalerie,80.0,56.0,N,XIV,data/images_paintings/238.jpg
239,Coypel noël, (1628-1707). ,solon défendant ses lois devant les athéniens,,,S,XIV,
240,Coypel noël, (1628-1707). ,ptolémée philadelphe donnant la liberté aux juifs,87.5,49.5,N,XIV,data/images_paintings/240.jpg
241,Coypel noël, (1628-1707). ,trajan donnant des audiences publiques,87.5,49.5,N,XIV,data/images_paintings/241.jpg
242,Coypel noël, (1628-1707). ,alexandre sévère faisant distribuer du blé au peuple,86.5,49.0,S,XIV,data/images_paintings/242.jpg
243,Coypel noël, (1628-1707). ,hercule combattant acheloüs,,,,S Blarenberghe,data/images_paintings/243.jpg
244,Coypel noël, (1628-1707). ,hercule déjanîre et le centaure nessus,,,,S Blarenberghe,
245,Coypel noël, (1628-1707). ,apollon couronné par la victoire,115.0,214.0,S,XIV,data/images_paintings/245.jpg
246,Coypel noël, (1628-1707). ,deux cartons de bandes de tapisserie,,,,Esc Daru,
247,Coypel noël, (1628-1707). ,quatre cartons de bandes de tapisserie,,,N,XIV,
248,Coypel antoine, (1661-1722).- ,athalie chassée du temple,213.0,156.0,N,XVI,data/images_paintings/248.jpg
249,Coypel antoine, (1661-1722).- ,esther en présence d'assuérus,,,N,XVI,
