,Unnamed: 0,number,author,life,title,position,width,height,image_url
26,26,* ,"['biennoury', 'victor', 'françois', 'eloi']", (1823-1893) ,les sculptures grecque romaine française camaïeux dans les tympans,S. de Mécène,,,
27,27,* ,"['biennoury', 'victor', 'françois', 'eloi']", (1823-1893) ,l'empire romain l'empire français camaïeux dans les tympans,S. d'Auguste,,,
28,28,23 ,"['blain', 'ou', 'belin', 'de', 'fontenay', 'jean', 'baptiste']", (1653- 1715). ,vase d'or fleurs et fruits,S. Meubles XVIIe,,,
29,29,24 ,"['blain', 'ou', 'belin', 'de', 'fontenay', 'jean', 'baptiste']", (1653- 1715). ,vase doré rempli de fleurs,S. Meubles XVIIe,,,
30,30,25 ,"['blanchard', 'jacques']", (16oo-r638). ,la charité,XIV-S,136±1 centimetre,110±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Blanchard_Allegory_of_Charity.jpg/1200px-Blanchard_Allegory_of_Charity.jpg
31,31,S. N° ,"['blanchard', 'jacques']", (16oo-r638). ,cimon et iphigénie ,XIV-N,,,
32,32,* ,"['blondel', 'merry', 'joseph']"," (1781-1853)., ",le soleil la  chute d'icare coupole circulaire partie centraie,Gai. d'Apollon,,,
33,33,* ,"['blondel', 'merry', 'joseph']"," (1781-1853)., ",différend de neptune et de minerve plafond tableau du centre,II,,,
34,34,* ,"['blondel', 'merry', 'joseph']"," (1781-1853)., ",mars la paix plafond côtés gauche et droit,II,,,
35,35,* ,"['blondel', 'merry', 'joseph']"," (1781-1853)., ",la france victorieuse à bouvines plafond,S. Meubles XVIIe S.,,,
36,36,28 ,"['boilly', 'louis', 'léopold']", (1761-1845). ,l'arrivée d'une diligence dans la cour des messageries à paris,XVI-N,,,
37,37,28 a ,"['boilly', 'louis', 'léopold']", (1761-1845). ,les amateurs d'estampes ,XVI-E,24.5±0.1 centimetre,32.5±0.1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000152/12-533251a.jpg
38,38,S. N° ,"['boilly', 'louis', 'léopold']", (1761-1845). ,réunion d'artistes dans l'atelier d'isabey,XVI-N,111 centimetre,71.5 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Boilly_r%C3%A9union_d%27artiste_chez_Isabey_1798.jpg/1200px-Boilly_r%C3%A9union_d%27artiste_chez_Isabey_1798.jpg
39,39,S. N° ,"['bonheur', 'rosa']", (1822-1899). ,labourage nivernais,Marine 1,2.6 Q11573,1.33 Q11573,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Rosa_Bonheur_-_Ploughing_in_Nevers_-_Google_Art_Project.jpg/1200px-Rosa_Bonheur_-_Ploughing_in_Nevers_-_Google_Art_Project.jpg
40,40,S. N° ,"['borowikoffsky', 'wladimir']", (1757-1825). ,portrait de l'impératrice elisabeth de russie d'après   ecole russe,Coll. Schlichting,,,
41,41,30 ,"['boucher', 'françois']", (1703-1770). ,diane sortant du bain avec une de ses compagnes,XVI-S,,,
42,42,31 ,"['boucher', 'françois']", (1703-1770). ,vénus commandant à vulcain des armes pour enée,XVI-N,,,
43,43,32 ,"['boucher', 'françois']", (1703-1770). ,la bergère endormie,XVI-S,,,
44,44,33 ,"['boucher', 'françois']", (1703-1770). ,la musette,XVI-S,,,
45,45,34 ,"['boucher', 'françois']", (1703-1770). ,sujet pastoral le nid,XVI-N,,,
46,46,35 ,"['boucher', 'françois']", (1703-1770). ,sujet pastoral berger et bergères,XVI-N,,,
47,47,36 ,"['boucher', 'françois']", (1703-1770). ,vulcain présentant à vénus des armes pour enée,XVI-S,320±1 centimetre,320±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/e/e1/Boucher_Vulcan_Presenting_Venus_with_Arms_for_Aeneas.jpg
48,48,37 ,"['boucher', 'françois']", (1703-1770). ,vertumne et pomone,XVI-S,122±1 centimetre,147.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Boucher%2C_vertumno_e_pomona%2C_1763.JPG/1200px-Boucher%2C_vertumno_e_pomona%2C_1763.JPG
49,49,38 ,"['boucher', 'françois']", (1703-1770). ,céphale et l'aurore,XVI-N,117.5±0.1 centimetre,142±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Boucher%2C_cefalo_e_aurora%2C_1764.JPG/1200px-Boucher%2C_cefalo_e_aurora%2C_1764.JPG
50,50,39 ,"['boucher', 'françois']", (1703-1770). ,l'enlèvement d'europe,XVI-S,193.5±0.1 centimetre,160.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/4/46/BoucherFrancois_Europe.jpg
51,51,41 ,"['boucher', 'françois']", (1703-1770). ,neptune et amymone,Esc. Henri IV,225±1 centimetre,240±1 centimetre,
52,52,42 ,"['boucher', 'françois']", (1703-1770). ,les jeux de l'amour la cible d'amour,XVI-N,,,
53,53,43 ,"['boucher', 'françois']", (1703-1770). ,la toilette de vénus,XVI-N,85.1 centimetre,108.3 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/The_Toilet_of_Venus%2C_by_Fran%C3%A7ois_Boucher.jpg/1200px-The_Toilet_of_Venus%2C_by_Fran%C3%A7ois_Boucher.jpg
54,54,44 ,"['boucher', 'françois']", (1703-1770). ,vénus désarmant l'amour,XVI-N,,,
55,55,45 ,"['boucher', 'françois']", (1703-1770). ,pastorale iii'1,S. Meubles XVIIIe,,,
56,56,45 a ,"['boucher', 'françois']", (1703-1770). ,l'oiseau pris dans les filets,XVI-N,205±1 centimetre,150±1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000194/11-527804.jpg
57,57,46 ,"['boucher', 'françois']", (1703-1770). ,vénus chez vulcain,I-E,,,
58,58,48 ,"['boucher', 'françois']", (1703-1770). ,le peintre dans son atelier,I-E,22±1 centimetre,27±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/4/47/Fran%C3%A7ois_Boucher_-_Painter_in_his_Studio_-_WGA2893.jpg
59,59,49 ,"['boucher', 'françois']", (1703-1770). ,les forges de vulcain,I-E,320±1 centimetre,320±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/e/e1/Boucher_Vulcan_Presenting_Venus_with_Arms_for_Aeneas.jpg
60,60,50 ,"['boucher', 'françois']", (1703-1770). ,portrait de jeune femme,I-E,46 Q174728,56.8 Q174728,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Boucher018.jpg/1200px-Boucher018.jpg
61,61,50 a ,"['boucher', 'françois']", (1703-1770). ,le déjeuner,XVI-S,65.5±0.1 centimetre,81.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Fran%C3%A7ois_Boucher_002.jpg/1200px-Fran%C3%A7ois_Boucher_002.jpg
62,62,S. N° ,"['boucher', 'françois']", (1703-1770). ,renaud et armide,XVI-S,170.5±0.1 centimetre,135.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Fran%C3%A7ois_Boucher_-_Rinaldo_and_Armida_-_WGA2878.jpg/1200px-Fran%C3%A7ois_Boucher_-_Rinaldo_and_Armida_-_WGA2878.jpg
63,63,S. N° ,"['boucher', 'françois']", (1703-1770). ,paysage le pont,XVI-S,,,
64,64,S. N° ,"['boucher', 'françois']", (1703-1770). ,paysage le moulin,XVI-S,,,
65,65,S. N° ,"['boucher', 'françois']", (1703-1770). ,portrait supposé de la mise de pompadour attr,Coll. Schlichting,,,
66,69,S. N° ,"['boucher', 'françois']", (1703-1770). ,tête d'étude pastel,S. des Pastels,,,
67,70,(148) ,"['boudin', 'eugène', 'louis']", (182.1-1898). ,baigneurs sur la plage de trou ville 1869,Coll. Camondo,,,
68,71,(149) ,"['boudin', 'eugène', 'louis']", (182.1-1898). ,la jetée de dtauville,Coll. Camondo,,,
69,72,(150) ,"['boudin', 'eugène', 'louis']", (182.1-1898). ,voiliers,Coll. Camondo,41.9 centimetre,31.4 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Eug%C3%A8ne_Louis_Boudin_-_Sailboats_near_Trouville_-_1983.7.4_-_Yale_University_Art_Gallery.jpg/1200px-Eug%C3%A8ne_Louis_Boudin_-_Sailboats_near_Trouville_-_1983.7.4_-_Yale_University_Art_Gallery.jpg
70,73,(210) ,"['boudin', 'eugène', 'louis']", (182.1-1898). ,etude de ciel pastd,Coll. Camondo,,,
71,74,50 c ,['boulanger'], Louis.(1806-1867). ,portrait de jeune femme,E. F. XIX^ S. 1er étage III,,,
72,75,55 ,"['boulogne', 'louis']", (1654-17331. ,mariage de sainte catherine,XIV-N,,,
73,76,56 ,"['boulongne', 'valentin']", (1591-1634). ,l'innocence de suzanne reconnue,XV-0,,,
74,77,57 ,"['boulongne', 'valentin']", (1591-1634). ,le jugement de salomon,XV-0,,,
75,78,59 ,"['boulongne', 'valentin']", (1591-1634). ,un concert,XIV-N,,,
76,79,60 ,"['boulongne', 'valentin']", (1591-1634). ,un concert,XIV-N,,,
77,80,62 ,"['boulongne', 'valentin']", (1591-1634). ,un cabaret,XII,,,
78,81,64 ,"['bourdon', 'sébastien']", (1616-1671). ,le sacrifice de noé à la sortie de l'arche,XV-N,,,
79,82,65 ,"['bourdon', 'sébastien']", (1616-1671). ,salomon sacrifiant aux idoles,S. Meubles XVIIe,145±1 centimetre,156±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/7/7a/S%C3%A9bastien_Bourdon_-_Solomon_making_a_sacrifice_to_the_idols.jpg
80,83,69 ,"['bourdon', 'sébastien']", (1616-1671). ,la présentation au temple,XIV-S,61±1 centimetre,71±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/6/6e/Bourdon%2C_S%C3%A9bastien_-_Presentation_in_the_Temple_-_c._1644.jpg
81,84,70 ,"['bourdon', 'sébastien']", (1616-1671). ,le christ et les enfants,XIV-N,61±1 Q174728,50±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000233/12-548155.jpg
82,85,74 ,"['bourdon', 'sébastien']", (1616-1671). ,auguste devant le tombeau d'alexandre,XIV-S,139±1 centimetre,111±1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000234/12-548156.jpg
83,87,75 ,['bourdonsébastien'],.(1616-1671). ,unehaltedebohémiens,XIV-N,,,
84,88,76 ,['bourdonsébastien'],.(1616-1671). ,les mendiants,XIV-S,,,
85,89,77 ,['bourdonsébastien'],.(1616-1671). ,scène d'intérieur,I-E,,,
86,90,78 ,['bourdonsébastien'],.(1616-1671). ,portrait de rené descartes,XIV-N,,,
87,91,80 ,['bourdonsébastien'],.(1616-1671). ,son portrait par lui même xiv n bourguignon jacques courtois dit le,- Voir Courtois,,,
88,92,S. N° ,"['boze', 'joseph']", (vers 1746-1826). ,portrait de boze par lui même pastel,S. des Pastels,,,
89,93,S. N° ,"['boze', 'joseph']", (vers 1746-1826). ,le duc d'angoulême enfant pastel,S. des Pastels,,,
90,94,S. N° ,"['boze', 'joseph']", (vers 1746-1826). ,portrait de madame de provence en robe blanche pastel,S. des Pastels,,,
91,95,83 ,"['brascassat', 'jacques', 'raymond']", (1804-1867). ,paysage et animaux,E. F. XIXe S. 1er étage I,131±1 centimetre,98±1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000248/14-531280a.jpg
92,96,S. o ,"['breton', 'jules']", (1827-1906) ,le rappel des glaneuses en artois,Marine 1,,,
93,97,S. N° ,"['breton', 'jules']", (1827-1906) ,la bénédiction des blés en artois,Marine 1,318 centimetre,128 centimetre,https://upload.wikimedia.org/wikipedia/commons/c/c8/Sacramentsprocessie.jpg
94,98,S. N° ,"['breton', 'jules']", (1827-1906) ,la glaneuse — brun charles le et brun mme vigée le — voir le brun,"S. N° Bureau, Pierre-Isidore. (1822-1876). — Clair de lune sur les bords de l'Oise à l'Isle - Adam E. F. XIXe S. 1er étage 1",,,
95,99,S. N° ,"['breton', 'jules']", (1827-1906) ,la route,"S. N° Bureau, Pierre-Isidore. (1822-1876). — Clair de lune sur les bords de l'Oise à l'Isle - Adam E. F. XIXe S. 1er étage III",,,
96,100,2931 ,"['cabat', 'louis', 'nicolas']", (1812-1893). ,l'étang de vilk d'avray,E. F XIXe S. 2e étage 1,,,
97,101,85 ,"['callet', 'antoine', 'françois']", (1741-1823). ,les saturnales ou l'hiver,XVI-E,,,
98,102,86 ,"['callet', 'antoine', 'françois']", (1741-1823). ,l'automne ou les fêtes de bacchus,XVI-E,,,
99,103,87 ,"['callet', 'antoine', 'françois']", (1741-1823). ,le triomphe de flore,1-0,96.5±0.1 centimetre,53.5±0.1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000264/12-561561.jpg
100,104,* ,"['callet', 'antoine', 'françois']", (1741-1823). ,le printemps plafond,Gai. d'Apollon,,,
101,109,* ,"['carolus', 'duran', 'emile', 'auguste']", 11837-1917). ,le triomphe de marie de médicis plafond 4me,S. Meubles XVIIIme,,,
102,110,87 a ,"['carpeaux', 'jean', 'baptiste']", (1827-1875). ,bal costumé aux tuileries 1867,E. F. XIXe S. 2e étage II,,,
103,113,(151) ,"['cézanne', 'paul']", 1839-1906). ,la maison du pendu à auvers sur oise,Coll. Camondo,,,
104,114,(152) ,"['cézanne', 'paul']", 1839-1906). ,dahlias dans un vase en faïence de delft,Coll. Camondo,,,
105,115,(153) ,"['cézanne', 'paul']", 1839-1906). ,les joueurs de cartes,Coll. Camondo,181.9 Q174728,135.3 Q174728,https://upload.wikimedia.org/wikipedia/commons/1/1c/Paul_Cezanne_Les_joueurs_de_cartes.jpg
106,116,(154) ,"['cézanne', 'paul']", 1839-1906). ,le vase bleu iris et pois de senteur,Coll. Camondo,,,
107,117,(155) ,"['cézanne', 'paul']", 1839-1906). ,pommes et oranges,Coll. Camondo,93 centimetre,74 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Nature_morte_aux_pommes_et_aux_oranges%2C_par_Paul_C%C3%A9zanne.jpg/1200px-Nature_morte_aux_pommes_et_aux_oranges%2C_par_Paul_C%C3%A9zanne.jpg
108,118,"S. N"" ","['challes', 'noël']", (milieu du XVIIIe S.) ,l'amour attr,Coll. Schlichting,,,
109,119,"S. N"" ","['challes', 'noël']", (milieu du XVIIIe S.) ,bacchus  attribué,Coll. Schlichting,,,
110,120,89 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,la raie ou le chat dans le garde manger,XVI-N,,,
111,121,90 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le buffet fruits chien et perroquet,XVI-N,,,
112,122,90 a ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,l'enfant au toton portrait de gabriel godefroy fils cadet du joaillier ch godefroy,XVI-N,,,
113,123,90 b ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le jeune homme au violon portrait de charles godefroy frère aîné du précédent,XVI-N,,,
114,124,91 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,la mère laborieuse,XVI-N,39±1 centimetre,49±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/b/bb/Jean_Sim%C3%A9on_Chardin_-_The_Hard-working_Mother_-_WGA04767.jpg
115,125,92 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le bénédicité,XVI-N,41±1 centimetre,49.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/d/d2/Jean-Baptiste_Simeon_Chardin_Saying_Grace.jpg
116,126,93 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le bénédicité,1-0,41±1 centimetre,49.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/d/d2/Jean-Baptiste_Simeon_Chardin_Saying_Grace.jpg
117,127,94 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,lapin mort et ustensiles de chasse,XVI-S,,,
118,128,95 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,menu de maigre,XVI-N,41±1 Q174728,33±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000404/10-528897.jpg
119,129,96 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,menu de gras,XVI-N,41±1 centimetre,33±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/a/af/Jean-Baptiste_Simeon_Chardin_A_Lean_Diet_with_Cooking_Utensils.jpg
120,130,97 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le singe antiquaire,XVI-S,64.5±0.1 centimetre,81±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Chardin%2C_la_scimmia_antiquaria%2C_1726_ca._02.JPG/1200px-Chardin%2C_la_scimmia_antiquaria%2C_1726_ca._02.JPG
121,131,98 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,les attributs des arts,XVI-S,145±1 centimetre,91±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/4/4b/Chardin_Attributs_musique_%281765%29.jpg
122,132,99 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,la pourvoyeuse,XVI-N,38±1 centimetre,47±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/1/1a/Jean_Sim%C3%A9on_Chardin_-_The_Provider_%28La_Pourvoyeuse%29_-_WGA04759.jpg
123,133,100 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,les attributs de la musique,XVI-S,145±1 centimetre,91±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/4/4b/Chardin_Attributs_musique_%281765%29.jpg
124,134,101 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,ustensiles variés pipe et vases à boire sur une table de pierre,XVI-N,,,
125,135,102 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,panier de pêches sur une table de pierre,XVI-N,,,
126,136,103 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le château de cartes,1-0,68±1 Q174728,77±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000415/08-524846.jpg
127,137,104 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le singe peintre,I-E,59.5±0.1 centimetre,73±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/f/f9/Le_Singe_peintre_-_Jean_Sim%C3%A9on_Chardin.jpg
128,138,105 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,melon poires et pêches,1-0,52±1 Q174728,60±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000423/12-568845.jpg
129,139,106 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,raisins et grenades ,1-0,57±1 centimetre,47±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/2/22/Jean_Sim%C3%A9on_Chardin_-_Grapes_and_Pomegranates_-_WGA04780.jpg
130,140,108 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,la fontaine de cuivre,I-E,23±1 centimetre,28.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/3/32/Copper_cistern.jpg
131,141,109 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,un dessert,1-0,56±1 centimetre,47±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/2/2d/Jean_Sim%C3%A9on_Chardin_-_%27La_Brioche%27_%28Cake%29_-_WGA04779.jpg
132,142,110 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,pêches noix raisins et verre de vin,I-E,,,
133,143,111 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,ustensiles divers,1-0,,,
134,144,112 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,poires et verre de vin,1-0,41±1 centimetre,33±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/9/94/Jean_Sim%C3%A9on_Chardin_-_Pears%2C_Walnuts_and_Glass_of_Wine_-_WGA04784.jpg
135,145,113 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le gobelet d'argent,1-0,41±1 centimetre,33±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Jean-Baptiste_Sim%C3%A9on_Chardin_024.jpg/1200px-Jean-Baptiste_Sim%C3%A9on_Chardin_024.jpg
136,146,114 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,la table de cuisine,1-0,129±1 Q174728,151±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000397/06-524806.jpg
137,147,115 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,le panier de raisins,1-0,58±1 centimetre,69±1 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000418/10-528889.jpg
138,148,116 ,"['chardin', 'jean', 'baptiste', 'siméon']", (1699-1779). ,ustensiles de cuisine et œufs ,I-E,21±1 Q174728,17±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000414/10-524675.jpg
139,154,120 ,"['chassériau', 'théodore']", (1819-1856). ,le tepidarium ef xixe,S. 2e étage I,,,
140,155,121 ,"['chassériau', 'théodore']", (1819-1856). ,la chaste suzanne,VIII-N,,,
141,156,121 a ,"['chassériau', 'théodore']", (1819-1856). ,la paix fragment de décoration provenant de la cour des comptes,Palier esc.T. T,,,
142,157,121 b ,"['chassériau', 'théodore']", (1819-1856). ,une océanide,Palier esc.T. T,,,
143,158,121 c ,"['chassériau', 'théodore']", (1819-1856). ,le père lacordaire viii 0  121 d — portrait du peintre marilhat ,E. F. XIXe S. 2e étage II,,,
144,159,S. N° ,"['chassériau', 'théodore']", (1819-1856). ,portrait de melle adèle chassériau,E. F. XIXe S. 1er étage III,,,
145,160,S. N° ,"['chassériau', 'théodore']", (1819-1856). ,les deux soeurs de l'artiste,VIII-0,135±1 centimetre,180±1 centimetre,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Th%C3%A9odore_Chass%C3%A9riau_003.jpg/1200px-Th%C3%A9odore_Chass%C3%A9riau_003.jpg
146,161,S. N° ,"['chassériau', 'théodore']", (1819-1856). ,caïd visitant un douar,E. F. XIXe S. 1er étage I,200±1 Q174728,142±1 Q174728,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000468/90-001698.jpg
147,162,S. N° ,"['chassériau', 'théodore']", (1819-1856). ,vénus marine,E. F. XIXe S. 1er étage II,55±1 centimetre,65.5±0.1 centimetre,https://upload.wikimedia.org/wikipedia/commons/2/2f/1838_Th%C3%A9odore_Chasseriau_-_Venus_Anadyomene.jpg
148,163,S. N° ,"['chassériau', 'théodore']", (1819-1856). ,chefs arabes se défiant en combat singulier,E. F. XIXe S. 1er étage II,,,
149,164,S. N° ,"['chassériau', 'théodore']", (1819-1856). ,macbeth rencontre les sorcières sur la bruyère,E. F. XIXe S. 1er étage II,,,
150,165,123 ,"['chintreuil', 'antoine']", (1814-1873). ,l'espace,E. F. XIXe S. 2e étage I,204 centimetre,102 centimetre,https://upload.wikimedia.org/wikipedia/commons/8/84/Chintreuil_espace.jpg
151,166,125 ,"['chintreuil', 'antoine']", (1814-1873). ,pluie et soleil ,E. F. XIXe S. 2e étage I,216 centimetre,105 centimetre,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE000492/05-521649.jpg
152,167,125 a ,"['chintreuil', 'antoine']", (1814-1873). ,etude,E. F. XIXe S. 2e étage H,42 centimetre,21 centimetre,
153,168,125 a ,"['chintreuil', 'antoine']", (1814-1873). ,etude,E. F. XIXe S. 2e étage H,42 centimetre,21 centimetre,
